Table 6,,,,,,,,,,,,,,,,,
Crime in the United States,,,,,,,,,,,,,,,,,
"by Metropolitan Statistical Area, 2003",,,,,,,,,,,,,,,,,
,,,Violent crime,,,,,Property crime,,,,,,,,,
"            Fall River, MA","92,741","1,067",3,77,270,717,"3,477","1,260","1,664",553,,,,,,,
"            Warwick, RI","87,563",129,0,36,27,66,"2,558",341,"2,038",179,,,,,,,
"            Cranston, RI","81,601",159,0,35,43,81,"2,340",436,"1,649",255,,,,,,,
        Total area actually reporting,99.6%,"5,843",40,744,"1,483","3,576","46,104","9,405","30,455","6,244",,,,,,,
        Estimated total,100.0%,"5,864",40,745,"1,487","3,592","46,231","9,433","30,538","6,260",,,,,,,
"        Rate per 100,000 inhabitants",,362.0,2.5,46.0,91.8,221.7,"2,853.6",582.3,"1,885.0",386.4,,,,,,,
"Provo-Orem, UT M.S.A.","402,411",,,,,,,,,,,,,,,,
    (Includes Juab and Utah Counties.),, ,,,,, ,,,,,,,,,,
        City of:,,,,,,,,,,,,,,,,,
            Provo ,"106,769",114,0,36,16,62,"3,512",841,"2,492",179,,,,,,,
            Orem,"84,934",68,2,18,18,30,"3,503",372,"2,932",199,,,,,,,
        Total area actually reporting,99.1%,364,3,104,50,207,"13,508","2,568","10,234",706,,,,,,,
        Estimated total,100.0%,372,3,106,51,212,"13,638","2,591","10,331",716,,,,,,,
"        Rate per 100,000 inhabitants",,92.4,0.7,26.3,12.7,52.7,"3,389.1",643.9,"2,567.3",177.9,,,,,,,
"Pueblo, CO M.S.A.","148,319", ,,,,, ,,,,,,,,,,
    (Includes Pueblo County.),,,,,,,,,,,,,,,,,
        City of Pueblo ,"104,424",817,6,38,175,598,"5,571","1,241","3,928",402,,,,,,,
        Total area actually reporting,100.0%,857,7,39,182,629,"6,920","1,565","4,906",449,,,,,,,
"        Rate per 100,000 inhabitants",,577.8,4.7,26.3,122.7,424.1,"4,665.6","1,055.2","3,307.7",302.7,,,,,,,
"Punta Gorda, FL M.S.A.","151,399", ,,,,, ,,,,,,,,,,
    (Includes Charlotte County.),,,,,,,,,,,,,,,,,
        City of Punta Gorda ,"16,303",30,0,3,4,23,419,141,253,25,,,,,,,
        Total area actually reporting,100.0%,429,4,27,51,347,"4,534","1,259","3,027",248,,,,,,,
"        Rate per 100,000 inhabitants",,283.4,2.6,17.8,33.7,229.2,"2,994.7",831.6,"1,999.4",163.8,,,,,,,
"Racine, WI M.S.A.","192,104", ,,,,, ,,,,,,,,,,
    (Includes Racine County.),,,,,,,,,,,,,,,,,
        City of Racine,"81,173",317,3,22,205,87,"4,290",836,"3,055",399,,,,,,,
        Total area actually reporting,100.0%,377,5,30,231,111,"6,545","1,134","4,898",513,,,,,,,
"        Rate per 100,000 inhabitants",,196.2,2.6,15.6,120.2,57.8,"3,407.0",590.3,"2,549.7",267.0,,,,,,,
"Raleigh-Cary, NC M.S.A.","868,120",,,,,,,,,,,,,,,,
"    (Includes Franklin, Johnston, and Wake Counties.)",, ,,,,,,,,,,,,,,,
        City of:,,,,,,,,,,,,,,,,,
            Raleigh ,"310,157","2,004",14,81,748,"1,161","14,771","3,327","10,186","1,258",,,,,,,
            Cary,"99,067",109,0,17,36,56,"2,244",397,"1,717",130,,,,,,,
        Total area actually reporting,99.1%,"3,171",30,165,"1,078","1,898","30,131","7,320","20,538","2,273",,,,,,,
        Estimated total,100.0%,"3,205",30,167,"1,089","1,919","30,576","7,419","20,862","2,295",,,,,,,
"        Rate per 100,000 inhabitants",,369.2,3.5,19.2,125.4,221.1,"3,522.1",854.6,"2,403.1",264.4,,,,,,,
"Rapid City, SD M.S.A.","115,820", ,,,,, ,,,,,,,,,,
    (Includes Meade and Pennington Counties.),,,,,,,,,,,,,,,,,
        City of Rapid City ,"60,519",242,0,67,35,140,"2,712",409,"2,167",136,,,,,,,
        Total area actually reporting,100.0%,400,3,126,39,232,"4,408",609,"3,581",218,,,,,,,
"        Rate per 100,000 inhabitants",,345.4,2.6,108.8,33.7,200.3,"3,805.9",525.8,"3,091.9",188.2,,,,,,,
"Reading, PA M.S.A.","383,049", ,,,,, ,,,,,,,,,,
    (Includes Berks County.),,,,,,,,,,,,,,,,,
        City of Reading ,"80,692",946,16,56,434,440,"4,643","1,140","2,458","1,045",,,,,,,
        Total area actually reporting,93.7%,"1,272",19,86,518,649,"9,602","1,828","6,319","1,455",,,,,,,
        Estimated total,100.0%,"1,326",19,90,532,685,"10,111","1,901","6,717","1,493",,,,,,,
"        Rate per 100,000 inhabitants",,346.2,5.0,23.5,138.9,178.8,"2,639.6",496.3,"1,753.6",389.8,,,,,,,
"Redding, CA M.S.A.","173,601", ,,,,, ,,,,,,,,,,
    (Includes Shasta County.),,,,,,,,,,,,,,,,,
        City of Redding ,"86,559",393,2,67,88,236,"3,156",779,"2,039",338,,,,,,,
        Total area actually reporting,100.0%,765,5,110,111,539,"5,084","1,454","2,987",643,,,,,,,
"        Rate per 100,000 inhabitants",,440.7,2.9,63.4,63.9,310.5,"2,928.6",837.6,"1,720.6",370.4,,,,,,,
"Reno-Sparks, NV M.S.A.","377,135",,,,,,,,,,,,,,,,
    (Includes Storey and Washoe Counties.),, ,,,,,,,,,,,,,,,
        City of:,,,,,,,,,,,,,,,,,
            Reno,"196,171","1,255",11,89,493,662,"11,231","1,976","7,708","1,547",,,,,,,
            Sparks,"76,025",358,3,44,102,209,"3,756",828,"2,482",446,,,,,,,
        Total area actually reporting,100.0%,"1,951",21,144,629,"1,157","17,038","3,393","11,449","2,196",,,,,,,
"        Rate per 100,000 inhabitants",,517.3,5.6,38.2,166.8,306.8,"4,517.7",899.7,"3,035.8",582.3,,,,,,,
"Richmond, VA M.S.A.1","1,140,589",,,,,,,,,,,,,,,,
"    (Includes Amelia, Caroline, Charles City, Chesterfield, Cumberland, Dinwiddie, Goochland, Hanover, Henrico, King and Queen, King William, Louisa, New Kent, Powhatan, Prince George, and Sussex Counties,  ",,,,,,,,,,,,,,,,,
"     and Colonial Heights, Hopewell, Petersburg, and Richmond Cities.) ",,,,,,,,,,,,,,,,,
        City of Richmond1 ,"199,968","2,474",93,98,"1,174","1,109",,"2,816",,"2,711",,,,,,,
        Total area actually reporting,99.2%,"4,666",155,280,"1,922","2,309",,"7,341",,"4,538",,,,,,,
        Estimated total,100.0%,"4,687",155,282,"1,928","2,322",,"7,372",,"4,557",,,,,,,
"        Rate per 100,000 inhabitants",,410.9,13.6,24.7,169.0,203.6,,646.3,,399.5,,,,,,,
"Riverside-San Bernardino-Ontario, CA M.S.A.","3,552,063",,,,,,,,,,,,,,,,
    (Includes Riverside and San Bernardino Counties.),,,,,,,,,,,,,,,,,
        City of:,,,,,,,,,,,,,,,,,
            Riverside ,"277,103","1,916",24,102,573,"1,217","12,891","2,194","8,098","2,599",,,,,,,
            San Bernardino,"193,641","2,864",48,120,"1,032","1,664","12,238","2,524","6,401","3,313",,,,,,,
            Ontario,"166,796",904,11,47,323,523,"7,472","1,019","4,331","2,122",,,,,,,
            Chino,"70,695",243,2,15,88,138,"2,366",459,"1,387",520,,,,,,,
            Victorville,"71,571",323,3,28,130,162,"3,863",856,"2,415",592,,,,,,,
            Redlands,"67,449",379,2,17,94,266,"2,767",531,"1,733",503,,,,,,,
            Hemet,"64,032",438,1,29,107,301,"2,957",801,"1,819",337,,,,,,,
            Temecula,"74,567",222,1,22,38,161,"2,026",414,"1,314",298,,,,,,,
        Total area actually reporting,100.0%,"19,335",258,"1,035","5,375","12,667","131,091","30,311","73,672","27,108",,,,,,,
"        Rate per 100,000 inhabitants",,544.3,7.3,29.1,151.3,356.6,"3,690.6",853.3,"2,074.1",763.2,,,,,,,
"Rochester, MN M.S.A.","170,754", ,,,,, ,,,,,,,,,,
"    (Includes Dodge, Olmsted, and Wabasha Counties.)",,,,,,,,,,,,,,,,,
        City of Rochester ,"91,230",257,0,59,47,151,"3,004",477,"2,360",167,,,,,,,
        Total area actually reporting,100.0%,335,0,87,52,196,"4,050",772,"3,033",245,,,,,,,
"        Rate per 100,000 inhabitants",,196.2,0.0,51.0,30.5,114.8,"2,371.8",452.1,"1,776.2",143.5,,,,,,,
"Rochester, NY M.S.A.","1,044,556", ,,,,, ,,,,,,,,,,
"    (Includes Livingston, Monroe, Ontario, Orleans, and Wayne Counties.)",,,,,,,,,,,,,,,,,
        City of Rochester ,"217,527","2,034",58,86,"1,166",724,"15,708","2,497","9,773","3,438",,,,,,,
        Total area actually reporting,98.9%,"3,034",66,210,"1,467","1,291","35,033","5,464","24,918","4,651",,,,,,,
        Estimated total,100.0%,"3,055",66,211,"1,474","1,304","35,279","5,500","25,111","4,668",,,,,,,
"        Rate per 100,000 inhabitants",,292.5,6.3,20.2,141.1,124.8,"3,377.4",526.5,"2,404.0",446.9,,,,,,,
"Rocky Mount, NC M.S.A.","145,804", ,,,,, ,,,,,,,,,,
    (Includes Edgecombe and Nash Counties.),,,,,,,,,,,,,,,,,
        City of Rocky Mount ,"56,601",459,7,21,195,236,"5,065","1,227","3,589",249,,,,,,,
        Total area actually reporting,100.0%,708,16,36,255,401,"7,632","2,169","5,043",420,,,,,,,
"        Rate per 100,000 inhabitants",,485.6,11.0,24.7,174.9,275.0,"5,234.4","1,487.6","3,458.8",288.1,,,,,,,
"Rome, GA M.S.A.","93,952", ,,,,, ,,,,,,,,,,
    (Includes Floyd County.),,,,,,,,,,,,,,,,,
        City of Rome,"35,749",438,6,13,67,352,"2,761",624,"1,972",165,,,,,,,
        Total area actually reporting,100.0%,524,10,13,75,426,"4,529","1,077","3,134",318,,,,,,,
"        Rate per 100,000 inhabitants",,557.7,10.6,13.8,79.8,453.4,"4,820.5","1,146.3","3,335.7",338.5,,,,,,,
"Sacramento--Arden-Arcade--Roseville, CA M.S.A.","1,950,441",,,,,,,,,,,,,,,,
"    (Includes El Dorado, Placer, Sacramento, and Yolo Counties.)",,,,,,,,,,,,,,,,,
        City of: ,,,,,,,,,,,,,,,,,
            Sacramento,"439,811","3,420",43,187,"1,630","1,560","28,266","5,606","15,374","7,286",,,,,,,
            Roseville,"92,724",266,4,22,68,172,"3,652",572,"2,650",430,,,,,,,
            Folsom,"61,899",119,0,16,24,79,"1,638",360,"1,131",147,,,,,,,
           Woodland,"51,383",281,2,22,42,215,"1,517",607,569,341,,,,,,,
        Total area actually reporting,100.0%,"9,850",101,688,"3,286","5,775","82,424","17,349","47,363","17,712",,,,,,,
"        Rate per 100,000 inhabitants",,505.0,5.2,35.3,168.5,296.1,"4,225.9",889.5,"2,428.3",908.1,,,,,,,
"Saginaw-Saginaw Township North, MI M.S.A.","210,704",,,,,,,,,,,,,,,,
    (Includes Saginaw County.),, ,,,,,,,,,,,,,,,
        City of Saginaw,"60,273","1,640",16,74,173,"1,377","2,684","1,054","1,350",280,,,,,,,
        Total area actually reporting,100.0%,"2,218",20,140,253,"1,805","7,575","1,908","5,137",530,,,,,,,
"        Rate per 100,000 inhabitants",,"1,052.7",9.5,66.4,120.1,856.7,"3,595.1",905.5,"2,438.0",251.5,,,,,,,
"Salem, OR M.S.A.","361,681", ,,,,, ,,,,,,,,,,
    (Includes Marion and Polk Counties.),,,,,,,,,,,,,,,,,
        City of Salem ,"142,501",514,5,75,180,254,"11,563","1,575","8,417","1,571",,,,,,,
        Total area actually reporting,99.7%,886,8,124,236,518,"21,808","3,325","15,466","3,017",,,,,,,
        Estimated total,100.0%,888,8,124,237,519,"21,853","3,332","15,499","3,022",,,,,,,
"        Rate per 100,000 inhabitants",,245.5,2.2,34.3,65.5,143.5,"6,042.1",921.3,"4,285.3",835.5,,,,,,,
"Salinas, CA M.S.A.","417,745", ,,,,, ,,,,,,,,,,
    (Includes Monterey County.),,,,,,,,,,,,,,,,,
        City of Salinas,"150,305","1,200",19,57,399,725,"7,415",837,"5,163","1,415",,,,,,,
        Total area actually reporting,100.0%,"2,054",27,131,660,"1,236","14,526","2,623","9,854","2,049",,,,,,,
"        Rate per 100,000 inhabitants",,491.7,6.5,31.4,158.0,295.9,"3,477.2",627.9,"2,358.9",490.5,,,,,,,
"Salisbury, MD M.S.A.","112,914", ,,,,, ,,,,,,,,,,
    (Includes Somerset and Wicomico Counties.),,,,,,,,,,,,,,,,,
        City of Salisbury,"24,874",469,0,17,128,324,"1,831",498,"1,269",64,,,,,,,
        Total area actually reporting,100.0%,859,3,39,190,627,"4,225","1,175","2,867",183,,,,,,,
"        Rate per 100,000 inhabitants",,760.8,2.7,34.5,168.3,555.3,"3,741.8","1,040.6","2,539.1",162.1,,,,,,,
"Salt Lake City, UT M.S.A.","1,012,356", ,,,,, ,,,,,,,,,,
"    (Includes Salt Lake, Summit, and Tooele Counties.)",,,,,,,,,,,,,,,,,
        City of Salt Lake City,"184,022","1,294",17,79,503,695,"16,745","2,359","12,464","1,922",,,,,,,
        Total area actually reporting,99.8%,"3,671",39,465,987,"2,180","56,385","8,636","42,551","5,198",,,,,,,
        Estimated total,100.0%,"3,676",39,466,988,"2,183","56,463","8,649","42,610","5,204",,,,,,,
"        Rate per 100,000 inhabitants",,363.1,3.9,46.0,97.6,215.6,"5,577.4",854.3,"4,209.0",514.0,,,,,,,
"San Angelo, TX M.S.A.","106,404", ,,,,, ,,,,,,,,,,
    (Includes Irion and Tom Green Counties.),,,,,,,,,,,,,,,,,
        City of San Angelo ,"88,782",407,1,77,62,267,"5,965","1,264","4,464",237,,,,,,,
        Total area actually reporting,100.0%,425,2,79,62,282,"6,307","1,349","4,704",254,,,,,,,
"        Rate per 100,000 inhabitants",,399.4,1.9,74.2,58.3,265.0,"5,927.4","1,267.8","4,420.9",238.7,,,,,,,
"San Antonio, TX M.S.A.","1,814,397", ,,,,, ,,,,,,,,,,
"    (Includes Atascosa, Bandera, Bexar, Comal, Guadalupe, Kendall, Medina, and Wilson Counties.)",,,,,,,,,,,,,,,,,
        City of San Antonio,"1,212,789","7,252",85,537,"2,060","4,570","83,000","14,619","62,179","6,202",,,,,,,
        Total area actually reporting,100.0%,"8,800",114,751,"2,270","5,665","103,709","19,106","77,329","7,274",,,,,,,
"        Rate per 100,000 inhabitants",,485.0,6.3,41.4,125.1,312.2,"5,715.9","1,053.0","4,262.0",400.9,,,,,,,
"San Diego-Carlsbad-San Marcos, CA M.S.A.","2,937,155",,,,,,,,,,,,,,,,
    (Includes San Diego County.),,,,,,,,,,,,,,,,,
        City of:,,,,,,,,,,,,,,,,,
            San Diego,"1,272,746","7,366",65,406,"1,626","5,269","46,382","8,076","25,739","12,567",,,,,,,
            Carlsbad,"87,548",266,4,14,64,184,"2,199",496,"1,445",258,,,,,,,
            San Marcos,"62,785",205,3,18,46,138,"1,475",440,765,270,,,,,,,
            National City,"56,124",546,9,33,155,349,"2,740",337,"1,407",996,,,,,,,
        Total area actually reporting,100.0%,"14,007",130,856,"3,375","9,646","96,636","18,893","54,278","23,465",,,,,,,
"        Rate per 100,000 inhabitants",,476.9,4.4,29.1,114.9,328.4,"3,290.1",643.2,"1,848.0",798.9,,,,,,,
"Sandusky, OH M.S.A.","79,308", ,,,,, ,,,,,,,,,,
    (Includes Erie County.),,,,,,,,,,,,,,,,,
        City of Sandusky,"27,391",115,0,11,26,78,"1,709",338,"1,300",71,,,,,,,
        Total area actually reporting,99.5%,163,0,24,30,109,"2,866",562,"2,200",104,,,,,,,
        Estimated total,100.0%,163,0,24,30,109,"2,877",564,"2,208",105,,,,,,,
"        Rate per 100,000 inhabitants",,205.5,0.0,30.3,37.8,137.4,"3,627.6",711.2,"2,784.1",132.4,,,,,,,
"San Francisco-Oakland-Fremont, CA M.S.A.","4,223,349",,,,,,,,,,,,,,,,
    (Includes the Metropolitan Divisions of Oakland-Fremont-Hayward and San Francisco-San Mateo-Redwood City.),,,,,,,,,,,,,,,,,
        City of:,,,,,,,,,,,,,,,,,
            San Francisco,"772,065","5,725",69,215,"3,065","2,376","38,163","5,784","25,388","6,991",,,,,,,
            Oakland,"407,003","5,613",109,268,"2,474","2,762","22,630","4,568","12,551","5,511",,,,,,,
            Fremont,"209,026",433,2,34,140,257,"5,693","1,059","3,876",758,,,,,,,
            Hayward,"144,215",600,8,41,257,294,"5,125",847,"2,647","1,631",,,,,,,
            Berkeley,"104,727",926,6,16,402,502,"8,695","1,245","6,217","1,233",,,,,,,
            San Mateo,"92,900",341,1,28,95,217,"2,756",294,"2,208",254,,,,,,,
            San Leandro,"81,455",578,3,26,292,257,"4,040",748,"2,453",839,,,,,,,
            Redwood City,"75,234",367,2,17,61,287,"2,190",383,"1,590",217,,,,,,,
            Walnut Creek,"66,031",106,0,8,18,80,"2,635",434,"1,938",263,,,,,,,
            Pleasanaton,"66,845",82,0,8,31,43,"1,598",205,"1,208",185,,,,,,,
            South San Francisco,"60,584",135,2,17,56,60,"1,481",321,891,269,,,,,,,
            San Rafael,"56,879",208,0,25,66,117,"2,010",327,"1,233",450,,,,,,,
        Total area actually reporting,100.0%,"22,710",302,"1,149","9,762","11,497","171,400","28,867","108,900","33,633",,,,,,,
"        Rate per 100,000 inhabitants",,537.7,7.2,27.2,231.1,272.2,"4,058.4",683.5,"2,578.5",796.4,,,,,,,
"    Oakland-Fremont-Hayward, CA M.D.","2,490,526",,,,,,,,,,,,,,,,
        (Includes Alameda and Contra Costa Counties.),,,,,,,,,,,,,,,,,
            Total area actually reporting,100.0%,"14,291",213,715,"5,889","7,474","107,816","18,736","65,865","23,215",,,,,,,
"            Rate per 100,000 inhabitants",,573.8,8.6,28.7,236.5,300.1,"4,329.0",752.3,"2,644.6",932.1,,,,,,,
"    San Francisco-San Mateo-Redwood City, CA M.D.","1,732,823",,,,,,,,,,,,,,,,
"        (Includes Marin, San Francisco, and San Mateo Counties.)",,,,,,,,,,,,,,,,,
            Total area actually reporting,100.0%,"8,419",89,434,"3,873","4,023","63,584","10,131","43,035","10,418",,,,,,,
"            Rate per 100,000 inhabitants",,485.9,5.1,25.0,223.5,232.2,"3,669.4",584.7,"2,483.5",601.2,,,,,,,
"San Jose-Sunnyvale-Santa Clara, CA M.S.A.","1,757,692",,,,,,,,,,,,,,,,
    (Includes San Benito and Santa Clara Counties.),,,,,,,,,,,,,,,,,
        City of:,,,,,,,,,,,,,,,,,
            San Jose,"909,890","3,378",29,279,815,"2,255","20,748","3,314","13,770","3,664",,,,,,,
            Sunnyvale,"131,048",172,2,26,65,79,"2,884",372,"2,269",243,,,,,,,
            Santa Clara,"102,936",253,7,25,48,173,"3,006",420,"2,244",342,,,,,,,
            Mountain View,"70,781",291,1,6,42,242,"1,837",209,"1,489",139,,,,,,,
            Milpitas,"64,368",200,3,23,38,136,"2,203",301,"1,663",239,,,,,,,
            Palo Alto,"58,147",88,2,5,40,41,"1,968",276,"1,606",86,,,,,,,
            Cupertino,"50,530",77,1,8,18,50,"1,174",184,954,36,,,,,,,
        Total area actually reporting,100.0%,"5,573",50,470,"1,254","3,799","43,388","7,017","30,714","5,657",,,,,,,
"        Rate per 100,000 inhabitants",,317.1,2.8,26.7,71.3,216.1,"2,468.5",399.2,"1,747.4",321.8,,,,,,,
"San Luis Obispo-Paso Robles, CA M.S.A.","256,067",,,,,,,,,,,,,,,,
    (Includes San Luis Obispo County.),, ,,,,,,,,,,,,,,,
        City of:,,,,,,,,,,,,,,,,,
            San Luis Obispo,"44,720",139,1,20,19,99,"1,944",344,"1,469",131,,,,,,,
            Paso Robles,"26,635",122,3,13,14,92,933,376,483,74,,,,,,,
        Total area actually reporting,100.0%,638,7,79,61,491,"7,015","1,642","4,879",494,,,,,,,
"        Rate per 100,000 inhabitants",,249.2,2.7,30.9,23.8,191.7,"2,739.5",641.2,"1,905.4",192.9,,,,,,,
"Santa Cruz-Watsonville, CA M.S.A.","256,477",,,,,,,,,,,,,,,,
    (Includes Santa Cruz County.),, ,,,,,,,,,,,,,,,
        City of:,,,,,,,,,,,,,,,,,
            Santa Cruz,"54,401",510,4,48,112,346,"3,121",523,"2,420",178,,,,,,,
            Watsonville,"47,133",329,3,23,99,204,"2,049",331,"1,569",149,,,,,,,
        Total area actually reporting,100.0%,"1,268",13,102,264,889,"9,865","1,814","7,356",695,,,,,,,
"        Rate per 100,000 inhabitants",,494.4,5.1,39.8,102.9,346.6,"3,846.3",707.3,"2,868.1",271.0,,,,,,,
"Santa Fe, NM M.S.A.","135,943", ,,,,, ,,,,,,,,,,
    (Includes Santa Fe County.),,,,,,,,,,,,,,,,,
        City of Santa Fe ,"65,814",387,9,40,104,234,"4,671","2,301","2,137",233,,,,,,,
        Total area actually reporting,98.0%,657,9,79,120,449,"5,685","2,808","2,583",294,,,,,,,
        Estimated total,100.0%,674,9,80,121,464,"5,794","2,829","2,662",303,,,,,,,
"        Rate per 100,000 inhabitants",,495.8,6.6,58.8,89.0,341.3,"4,262.1","2,081.0","1,958.2",222.9,,,,,,,
"Santa Rosa-Petaluma, CA M.S.A.","473,300",,,,,,,,,,,,,,,,
    (Includes Sonoma County.),, ,,,,,,,,,,,,,,,
        City of:,,,,,,,,,,,,,,,,,
            Santa Rosa,"155,099",998,2,84,133,779,"5,878","1,080","4,069",729,,,,,,,
            Petaluma,"55,832",111,1,20,21,69,"1,174",240,815,119,,,,,,,
        Total area actually reporting,100.0%,"2,259",9,208,256,"1,786","14,283","2,965","9,679","1,639",,,,,,,
"        Rate per 100,000 inhabitants",,477.3,1.9,43.9,54.1,377.4,"3,017.7",626.5,"2,045.0",346.3,,,,,,,
"Sarasota-Bradenton-Venice, FL M.S.A.","631,487",,,,,,,,,,,,,,,,
    (Includes Manatee and Sarasota Counties.),,,,,,,,,,,,,,,,,
        City of:,,,,,,,,,,,,,,,,,
            Sarasota,"54,297",566,5,31,199,331,"3,987",903,"2,826",258,,,,,,,
            Bradenton,"52,304",455,7,29,162,257,"3,320",894,"2,073",353,,,,,,,
            Venice,"18,941",37,0,1,5,31,528,78,436,14,,,,,,,
        Total area actually reporting,100.0%,"3,940",28,197,885,"2,830","28,215","6,839","19,477","1,899",,,,,,,
"        Rate per 100,000 inhabitants",,623.9,4.4,31.2,140.1,448.1,"4,468.0","1,083.0","3,084.3",300.7,,,,,,,
"Savannah, GA M.S.A.","304,146", ,,,,, ,,,,,,,,,,
"    (Includes Bryan, Chatham, and Effingham Counties.)",,,,,,,,,,,,,,,,,
        City of Savannah,"129,547","1,073",28,42,603,400,"9,241","2,135","5,782","1,324",,,,,,,
        Total area actually reporting,98.4%,"1,671",36,77,726,832,"15,626","3,620","10,153","1,853",,,,,,,
        Estimated total,100.0%,"1,695",36,78,734,847,"15,894","3,664","10,350","1,880",,,,,,,
"        Rate per 100,000 inhabitants",,557.3,11.8,25.6,241.3,278.5,"5,225.8","1,204.7","3,403.0",618.1,,,,,,,
"Scranton--Wilkes-Barre, PA M.S.A.","554,517",,,,,,,,,,,,,,,,
"    (Includes Lackawanna, Luzerne, and Wyoming Counties.)",, ,,,,,,,,,,,,,,,
        City of:,,,,,,,,,,,,,,,,,
            Scranton,"74,896",263,2,37,92,132,"2,260",528,"1,547",185,,,,,,,
            Wilkes-Barre,"42,124",148,2,15,92,39,"2,119",406,"1,579",134,,,,,,,
        Total area actually reporting,79.4%,"1,165",25,117,312,711,"10,979","2,130","8,062",787,,,,,,,
        Estimated total,100.0%,"1,423",27,136,378,882,"13,403","2,479","9,958",966,,,,,,,
"        Rate per 100,000 inhabitants",,256.6,4.9,24.5,68.2,159.1,"2,417.1",447.1,"1,795.8",174.2,,,,,,,
"Seattle-Tacoma-Bellevue, WA M.S.A.","3,157,999",,,,,,,,,,,,,,,,
    (Includes the Metropolitan Divisions of Seattle-Bellevue-Everett and Tacoma.),,,,,,,,,,,,,,,,,
        City of:,,,,,,,,,,,,,,,,,
            Seattle,"576,296","3,946",34,174,"1,509","2,229","46,306","8,536","28,718","9,052",,,,,,,
            Tacoma,"199,586","2,154",13,149,739,"1,253","16,058","3,028","10,096","2,934",,,,,,,
            Bellevue,"114,056",164,0,28,68,68,"4,319",518,"3,213",588,,,,,,,
            Everett,"98,087",546,2,77,168,299,"6,406",981,"3,846","1,579",,,,,,,
            Kent,"82,565",317,12,34,146,125,"5,157","1,109","2,919","1,129",,,,,,,
            Renton,"53,723",279,1,27,89,162,"4,335",642,"2,822",871,,,,,,,
        Total area actually reporting,100.0%,"12,937",110,"1,335","4,151","7,341","159,438","29,569","100,330","29,539",,,,,,,
"        Rate per 100,000 inhabitants",,409.7,3.5,42.3,131.4,232.5,"5,048.7",936.3,"3,177.0",935.4,,,,,,,
"    Seattle-Bellevue-Everett, WA M.D.","2,418,182",,,,,,,,,,,,,,,,
        (Includes King and Snohomish Counties.),,,,,,,,,,,,,,,,,
            Total area actually reporting,100.0%,"8,758",84,990,"2,986","4,698","121,618","21,951","76,073","23,594",,,,,,,
"            Rate per 100,000 inhabitants",,362.2,3.5,40.9,123.5,194.3,"5,029.3",907.7,"3,145.9",975.7,,,,,,,
"    Tacoma, WA M.D.","739,817",,,,,,,,,,,,,,,,
        (Includes Pierce County.),,,,,,,,,,,,,,,,,
            Total area actually reporting,100.0%,"4,179",26,345,"1,165","2,643","37,820","7,618","24,257","5,945",,,,,,,
"            Rate per 100,000 inhabitants",,564.9,3.5,46.6,157.5,357.3,"5,112.1","1,029.7","3,278.8",803.6,,,,,,,
"Sheboygan, WI M.S.A.","113,123", ,,,,, ,,,,,,,,,,
    (Includes Sheboygan County.),,,,,,,,,,,,,,,,,
        City of Sheboygan,"49,729",76,2,34,12,28,"2,344",270,"1,982",92,,,,,,,
        Total area actually reporting,100.0%,111,2,40,13,56,"3,342",378,"2,831",133,,,,,,,
"        Rate per 100,000 inhabitants",,98.1,1.8,35.4,11.5,49.5,"2,954.3",334.1,"2,502.6",117.6,,,,,,,
"Sherman-Denison, TX M.S.A.","115,630",,,,,,,,,,,,,,,,
    (Includes Grayson County.),, ,,,,,,,,,,,,,,,
        City of:,,,,,,,,,,,,,,,,,
            Sherman,"36,344",168,1,2,33,132,"2,056",386,"1,598",72,,,,,,,
            Denison,"23,529",90,1,1,21,67,"1,241",237,928,76,,,,,,,
        Total area actually reporting,100.0%,339,3,18,59,259,"4,590","1,008","3,337",245,,,,,,,
"        Rate per 100,000 inhabitants",,293.2,2.6,15.6,51.0,224.0,"3,969.6",871.7,"2,885.9",211.9,,,,,,,
"Shreveport-Bossier City, LA M.S.A.","379,039",,,,,,,,,,,,,,,,
"    (Includes Bossier, Caddo, and De Soto Parishes.)",, ,,,,,,,,,,,,,,,
        City of:,,,, ,,,,,,,,,,,,,
            Shreveport,"199,641","2,056",42,112,689,"1,213","14,905","3,595","9,745","1,565",,,,,,,
            Bossier City,"57,331",476,4,31,97,344,"3,491",644,"2,517",330,,,,,,,
        Total area actually reporting,100.0%,"2,941",55,171,806,"1,909","21,618","4,939","14,617","2,062",,,,,,,
"        Rate per 100,000 inhabitants",,775.9,14.5,45.1,212.6,503.6,"5,703.4","1,303.0","3,856.3",544.0,,,,,,,
"Sioux City, IA-NE-SD M.S.A.","143,270", ,,,,, ,,,,,,,,,,
"    (Includes Woodbury County, IA; Dakota and Dixon Counties, NE; and Union County SD.)",,,,,,,,,,,,,,,,,
"        City of Sioux City, IA","84,340",357,1,43,49,264,"4,556",967,"3,227",362,,,,,,,
        Total area actually reporting,99.4%,437,1,48,52,336,"5,220","1,132","3,685",403,,,,,,,
        Estimated total,100.0%,438,1,48,52,337,"5,231","1,134","3,693",404,,,,,,,
"        Rate per 100,000 inhabitants",,305.7,0.7,33.5,36.3,235.2,"3,651.1",791.5,"2,577.7",282.0,,,,,,,
"Sioux Falls, SD M.S.A.","195,488", ,,,,, ,,,,,,,,,,
"    (Includes Lincoln, McCook, Minnehaha, and Turner Counties.)",,,,,,,,,,,,,,,,,
        City of Sioux Falls,"131,048",392,3,104,40,245,"4,023",770,"2,997",256,,,,,,,
