Table 6,,,,,,,,,,,,,,,,,
Crime in the United States,,,,,,,,,,,,,,,,,
"by Metropolitan Statistical Area, 2004",,,,,,,,,,,,,,,,,
Metropolitan Statistical Area,Population,Violent crime,Murder and nonnegligent manslaughter,Forcible rape,Robbery,Aggravated assault,Property crime,Burglary,Larceny-theft,Motor vehicle theft,,,,,,,
"            Ashland, KY","21,638",101,0,8,16,77,"1,218",197,979,42,,,,,,,
        Total area actually reporting,95.0%,559,6,76,184,293,"8,044","1,718","5,696",630,,,,,,,
        Estimated total,100.0%,588,6,80,194,308,"8,479","1,795","6,027",657,,,,,,,
"        Rate per 100,000 inhabitants",,204.4,2.1,27.8,67.5,107.1,"2,948.1",624.1,"2,095.5",228.4,,,,,,,
"Huntsville, AL M.S.A.","360,247", ,,,,, ,,,,,,,,,,
    (Includes Limestone and Madison Counties.),, , ,,,,,,,,,,,,,,
        City of Huntsville,"165,311","1,109",6,93,363,647,"10,387","1,924","7,537",926,,,,,,,
        Total area actually reporting,99.8%,"1,434",6,142,431,855,"14,505","2,945","10,296","1,264",,,,,,,
        Estimated total,100.0%,"1,437",6,142,432,857,"14,545","2,953","10,325","1,267",,,,,,,
"        Rate per 100,000 inhabitants",,398.9,1.7,39.4,119.9,237.9,"4,037.5",819.7,"2,866.1",351.7,,,,,,,
"Idaho Falls, ID M.S.A.","109,314", ,,,,, ,,,,,,,,,,
    (Includes Bonneville and Jefferson Counties.),,,,,,,,,,,,,,,,,
        City of Idaho Falls,"52,522",142,2,27,9,104,"2,025",291,"1,630",104,,,,,,,
        Total area actually reporting,100.0%,207,6,44,12,145,"3,117",483,"2,465",169,,,,,,,
"        Rate per 100,000 inhabitants",,189.4,5.5,40.3,11.0,132.6,"2,851.4",441.8,"2,255.0",154.6,,,,,,,
"Indianapolis, IN M.S.A.","1,606,175", ,,,,, ,,,,,,,,,,
"    (Includes Boone, Brown, Hamilton, Hancock, Hendricks, Johnson, Marion, Morgan, Putnam, and Shelby Counties.)",,,,,,,,,,,,,,,,,
        City of Indianapolis,"800,589","7,067",109,479,"2,763","3,716","46,998","10,920","28,364","7,714",,,,,,,
        Total area actually reporting,91.0%,"8,240",119,586,"2,989","4,546","62,127","13,283","40,116","8,728",,,,,,,
        Estimated total,100.0%,"8,565",122,610,"3,060","4,773","65,694","13,911","42,714","9,069",,,,,,,
"        Rate per 100,000 inhabitants",,533.3,7.6,38.0,190.5,297.2,"4,090.1",866.1,"2,659.4",564.6,,,,,,,
"Iowa City, IA M.S.A.","137,345", ,,,,, ,,,,,,,,,,
    (Includes Johnson and Washington Counties.),,,,,,,,,,,,,,,,,
        City of Iowa City,"64,032",213,3,22,46,142,"1,847",419,"1,370",58,,,,,,,
        Total area actually reporting,100.0%,409,3,54,57,295,"3,361",691,"2,547",123,,,,,,,
"        Rate per 100,000 inhabitants",,297.8,2.2,39.3,41.5,214.8,"2,447.1",503.1,"1,854.5",89.6,,,,,,,
"Jackson, MI M.S.A.","162,847", ,,,,, ,,,,,,,,,,
    (Includes Jackson County.),,,,,,,,,,,,,,,,,
        City of Jackson,"35,266",363,1,62,80,220,"2,138",370,"1,622",146,,,,,,,
        Total area actually reporting,100.0%,679,4,173,93,409,"4,483",985,"3,194",304,,,,,,,
"        Rate per 100,000 inhabitants",,417.0,2.5,106.2,57.1,251.2,"2,752.9",604.9,"1,961.4",186.7,,,,,,,
"Jackson, MS M.S.A.","513,895", ,,,,, ,,,,,,,,,,
"    (Includes Copiah, Hinds, Madison, Rankin, and Simpson Counties.)",,,,,,,,,,,,,,,,,
        City of Jackson,"180,951","1,272",53,165,678,376,"12,270","3,400","6,846","2,024",,,,,,,
        Total area actually reporting,87.1%,"1,760",69,251,784,656,"18,170","4,972","10,719","2,479",,,,,,,
        Estimated total,100.0%,"1,937",72,279,827,759,"20,628","5,509","12,448","2,671",,,,,,,
"        Rate per 100,000 inhabitants",,376.9,14.0,54.3,160.9,147.7,"4,014.0","1,072.0","2,422.3",519.8,,,,,,,
"Jackson, TN M.S.A.","110,828", ,,,,, ,,,,,,,,,,
    (Includes Chester and Madison Counties.),,,,,,,,,,,,,,,,,
        City of Jackson,"61,729",770,6,31,187,546,"4,899","1,103","3,377",419,,,,,,,
        Total area actually reporting,100.0%,986,7,52,209,718,"6,279","1,470","4,263",546,,,,,,,
"        Rate per 100,000 inhabitants",,889.7,6.3,46.9,188.6,647.9,"5,665.5","1,326.4","3,846.5",492.7,,,,,,,
"Jacksonville, FL M.S.A.","1,229,623", ,,,,, ,,,,,,,,,,
"    (Includes Baker, Clay, Duval, Nassau, and St. Johns Counties.)",,,,,,,,,,,,,,,,,
        City of Jacksonville,"790,972","6,533",104,209,"2,223","3,997","43,238","9,066","29,448","4,724",,,,,,,
        Total area actually reporting,100.0%,"8,987",116,325,"2,457","6,089","55,239","11,853","37,787","5,599",,,,,,,
"        Rate per 100,000 inhabitants",,730.9,9.4,26.4,199.8,495.2,"4,492.4",964.0,"3,073.1",455.3,,,,,,,
"Janesville, WI M.S.A.","155,833", ,,,,, ,,,,,,,,,,
    (Includes Rock County.),,,,,,,,,,,,,,,,,
        City of Janesville,"61,555",129,1,28,33,67,"2,777",498,"2,176",103,,,,,,,
        Total area actually reporting,100.0%,350,1,55,91,203,"5,278",987,"4,037",254,,,,,,,
"        Rate per 100,000 inhabitants",,224.6,0.6,35.3,58.4,130.3,"3,387.0",633.4,"2,590.6",163.0,,,,,,,
"Jefferson City, MO M.S.A.","144,033", ,,,,, ,,,,,,,,,,
"    (Includes Callaway, Cole, Moniteau, and Osage Counties.)",,,,,,,,,,,,,,,,,
        City of Jefferson City,"37,880",262,0,11,42,209,"1,460",229,"1,165",66,,,,,,,
        Total area actually reporting,100.0%,403,0,26,60,317,"3,349",668,"2,512",169,,,,,,,
"        Rate per 100,000 inhabitants",,279.8,0.0,18.1,41.7,220.1,"2,325.2",463.8,"1,744.0",117.3,,,,,,,
"Johnson City, TN M.S.A.","188,069", ,,,,, ,,,,,,,,,,
"    (Includes Carter, Unicoi, and Washington Counties.)",,,,,,,,,,,,,,,,,
        City of Johnson City,"57,976",336,4,7,59,266,"3,922",615,"3,101",206,,,,,,,
        Total area actually reporting,100.0%,670,6,22,86,556,"7,559","1,556","5,600",403,,,,,,,
"        Rate per 100,000 inhabitants",,356.3,3.2,11.7,45.7,295.6,"4,019.3",827.4,"2,977.6",214.3,,,,,,,
"Johnstown, PA M.S.A.","149,947", ,,,,, ,,,,,,,,,,
    (Includes Cambria County.), , , ,,,,,,,,,,,,,,
        City of Johnstown,"27,578",226,5,5,56,160,966,282,627,57,,,,,,,
        Total area actually reporting,75.9%,370,5,15,70,280,"2,223",565,"1,529",129,,,,,,,
        Estimated total,100.0%,455,6,21,92,336,"2,996",675,"2,140",181,,,,,,,
"        Rate per 100,000 inhabitants",,303.4,4.0,14.0,61.4,224.1,"1,998.0",450.2,"1,427.2",120.7,,,,,,,
"Joplin, MO M.S.A.1","163,570", ,,,,, ,,,,,,,,,,
    (Includes Jasper and Newton Counties.),,,,,,,,,,,,,,,,,
        City of Joplin,"46,781",251,1,43,95,112,"4,151",738,"3,082",331,,,,,,,
        Total area actually reporting,100.0%,,4,64,107,,"7,685","1,500","5,545",640,,,,,,,
"        Rate per 100,000 inhabitants",,,2.4,39.1,65.4,,"4,698.3",917.0,"3,390.0",391.3,,,,,,,
"Kalamazoo-Portage, MI M.S.A.","321,357",,,,,,,,,,,,,,,,
    (Includes Kalamazoo and Van Buren Counties.),,,,,,,,,,,,,,,,,
        City of:,,,,,,,,,,,,,,,,,
            Kalamazoo,"75,556",511,1,45,146,319,"4,111",813,"2,987",311,,,,,,,
            Portage,"45,827",75,0,16,13,46,"2,067",260,"1,752",55,,,,,,,
        Total area actually reporting,100.0%,"1,138",6,154,223,755,"12,043","2,429","8,800",814,,,,,,,
"        Rate per 100,000 inhabitants",,354.1,1.9,47.9,69.4,234.9,"3,747.5",755.9,"2,738.4",253.3,,,,,,,
"Kansas City, MO-KS M.S.A.","1,918,229",,,,,,,,,,,,,,,,
"    (Includes Franklin, Johnson, Leavenworth, Linn, Miami, and Wyandotte Counties, KS and Bates, Caldwell, Cass, Clay, Clinton, Jackson, Lafayette, Platte, and Ray Counties, MO.)",,,,,,,,,,,,,,,,,
        City of:,, ,,,,,,,,,,,,,,,
"            Kansas City, MO","446,659","6,449",89,316,"1,923","4,121","35,066","6,952","22,800","5,314",,,,,,,
"            Overland Park, KS","161,074",330,2,41,59,228,"4,706",521,"3,780",405,,,,,,,
"            Kansas City, KS","146,399","1,014",37,107,349,521,"13,068","1,820","9,023","2,225",,,,,,,
        Total area actually reporting,97.6%,"11,304",151,777,"2,813","7,563","90,768","15,714","63,610","11,444",,,,,,,
        Estimated total,100.0%,"11,425",152,792,"2,829","7,652","92,212","15,954","64,708","11,550",,,,,,,
"        Rate per 100,000 inhabitants",,595.6,7.9,41.3,147.5,398.9,"4,807.1",831.7,"3,373.3",602.1,,,,,,,
"Kennewick-Richland-Pasco, WA M.S.A.","212,261",,,,,,,,,,,,,,,,
    (Includes Benton and Franklin Counties.),,,,,,,,,,,,,,,,,
        City of:,,,,,,,,,,,,,,,,,
            Kennewick,"60,034",218,4,30,41,143,"3,190",621,"2,365",204,,,,,,,
            Richland,"43,039",70,0,4,13,53,"1,386",291,"1,034",61,,,,,,,
            Pasco,"38,684",142,3,12,36,91,"1,706",334,"1,229",143,,,,,,,
        Total area actually reporting,100.0%,550,8,61,98,383,"7,819","1,660","5,647",512,,,,,,,
"        Rate per 100,000 inhabitants",,259.1,3.8,28.7,46.2,180.4,"3,683.7",782.1,"2,660.4",241.2,,,,,,,
"Killeen-Temple-Fort Hood, TX M.S.A.","349,096",,,,,,,,,,,,,,,,
"    (Includes Bell, Coryell, and Lampasas Counties.)",,,,,,,,,,,,,,,,,
        City of:,,,,,,,,,,,,,,,,,
            Killeen,"97,774",771,5,62,153,551,"5,091","1,741","3,153",197,,,,,,,
            Temple,"55,898",159,1,1,57,100,"2,691",632,"1,914",145,,,,,,,
        Total area actually reporting,100.0%,"1,334",20,143,257,914,"11,961","3,454","7,964",543,,,,,,,
"        Rate per 100,000 inhabitants",,382.1,5.7,41.0,73.6,261.8,"3,426.3",989.4,"2,281.3",155.5,,,,,,,
"Kingsport-Bristol-Bristol, TN-VA M.S.A.","302,724",,,,,,,,,,,,,,,,
"    (Includes Hawkins and Sullivan Counties, TN and Scott and Washington Counties and Bristol City, VA.)",,,,,,,,,,,,,,,,,
        City of:,,,,,,,,,,,,,,,,,
"            Kingsport, TN","44,679",417,2,39,66,310,"3,524",661,"2,654",209,,,,,,,
"            Bristol, TN","25,275",128,1,7,21,99,"1,417",231,"1,115",71,,,,,,,
"            Bristol, VA","17,377",95,1,7,25,62,667,108,524,35,,,,,,,
        Total area actually reporting,99.3%,"1,337",17,105,153,"1,062","10,761","2,418","7,628",715,,,,,,,
        Estimated total,100.0%,"1,346",17,106,155,"1,068","10,847","2,430","7,695",722,,,,,,,
"        Rate per 100,000 inhabitants",,444.6,5.6,35.0,51.2,352.8,"3,583.1",802.7,"2,541.9",238.5,,,,,,,
"Kingston, NY M.S.A.","181,460", ,,,,, ,,,,,,,,,,
    (Includes Ulster County.),,,,,,,,,,,,,,,,,
        City of Kingston,"23,339",92,1,5,58,28,930,135,762,33,,,,,,,
        Total area actually reporting,97.4%,464,4,36,94,330,"3,434",575,"2,734",125,,,,,,,
        Estimated total,100.0%,473,4,37,97,335,"3,529",588,"2,810",131,,,,,,,
"        Rate per 100,000 inhabitants",,260.7,2.2,20.4,53.5,184.6,"1,944.8",324.0,"1,548.6",72.2,,,,,,,
"Knoxville, TN M.S.A.","643,319", ,,,,, ,,,,,,,,,,
"    (Includes Anderson, Blount, Knox, Loudon, and Union Counties.)",,,,,,,,,,,,,,,,,
        City of Knoxville,"175,034","1,643",20,80,520,"1,023","11,383","2,506","7,497","1,380",,,,,,,
        Total area actually reporting,100.0%,"3,132",34,193,707,"2,198","25,528","6,015","16,997","2,516",,,,,,,
"        Rate per 100,000 inhabitants",,486.9,5.3,30.0,109.9,341.7,"3,968.2",935.0,"2,642.1",391.1,,,,,,,
"Kokomo, IN M.S.A.","101,987", ,,,,, ,,,,,,,,,,
    (Includes Howard and Tipton Counties.),,,,,,,,,,,,,,,,,
        City of Kokomo,"46,466",195,5,23,47,120,"2,840",461,"2,227",152,,,,,,,
        Total area actually reporting,89.0%,291,5,28,54,204,"3,625",661,"2,772",192,,,,,,,
        Estimated total,100.0%,305,5,29,56,215,"3,788",699,"2,879",210,,,,,,,
"        Rate per 100,000 inhabitants",,299.1,4.9,28.4,54.9,210.8,"3,714.2",685.4,"2,822.9",205.9,,,,,,,
"La Crosse, WI-MN M.S.A.","129,485", ,,,,, ,,,,,,,,,,
"    (Includes Houston County, MN and La Crosse County, WI.)",,,,,,,,,,,,,,,,,
"        City of La Crosse, WI","51,343",120,1,15,26,78,"1,538",198,"1,270",70,,,,,,,
        Total area actually reporting,100.0%,202,1,20,31,150,"2,809",351,"2,326",132,,,,,,,
"        Rate per 100,000 inhabitants",,156.0,0.8,15.4,23.9,115.8,"2,169.4",271.1,"1,796.3",101.9,,,,,,,
"Lafayette, IN M.S.A.","185,785", ,,,,, ,,,,,,,,,,
"    (Includes Benton, Carroll, and Tippecanoe Counties.)",,,,,,,,,,,,,,,,,
        City of Lafayette,"61,643",231,4,15,60,152,"3,236",719,"2,358",159,,,,,,,
        Total area actually reporting,85.2%,318,6,33,81,198,"5,283","1,143","3,886",254,,,,,,,
        Estimated total,100.0%,360,6,37,88,229,"5,755","1,243","4,208",304,,,,,,,
"        Rate per 100,000 inhabitants",,193.8,3.2,19.9,47.4,123.3,"3,097.7",669.1,"2,265.0",163.6,,,,,,,
"Lafayette, LA M.S.A.","245,206", ,,,,, ,,,,,,,,,,
    (Includes Lafayette and St. Martin Parishes.),,,,,,,,,,,,,,,,,
        City of Lafayette,"112,150","1,020",6,86,163,765,"7,283","1,332","5,546",405,,,,,,,
        Total area actually reporting,76.7%,"1,310",7,115,202,986,"9,745","2,045","7,094",606,,,,,,,
        Estimated total,100.0%,"1,597",11,135,254,"1,197","12,325","2,526","9,007",792,,,,,,,
"        Rate per 100,000 inhabitants",,651.3,4.5,55.1,103.6,488.2,"5,026.4","1,030.2","3,673.2",323.0,,,,,,,
"Lake Charles, LA M.S.A.","194,434", ,,,,, ,,,,,,,,,,
    (Includes Calcasieu and Cameron Parishes.),,,,,,,,,,,,,,,,,
        City of Lake Charles,"71,041",552,7,55,130,360,"4,015","1,635","2,195",185,,,,,,,
        Total area actually reporting,96.6%,"1,022",12,119,220,671,"9,360","2,859","6,006",495,,,,,,,
        Estimated total,100.0%,"1,061",12,122,227,700,"9,752","2,919","6,316",517,,,,,,,
"        Rate per 100,000 inhabitants",,545.7,6.2,62.7,116.7,360.0,"5,015.6","1,501.3","3,248.4",265.9,,,,,,,
"Lakeland, FL M.S.A.","521,798",,,,,,,,,,,,,,,,
    (Includes Polk County.),, ,,,,,,,,,,,,,,,
        City of Lakeland,"89,812",413,3,31,162,217,"5,186","1,084","3,774",328,,,,,,,
        Total area actually reporting,99.4%,"2,482",15,137,511,"1,819","21,073","5,442","13,917","1,714",,,,,,,
        Estimated total,100.0%,"2,503",15,138,517,"1,833","21,218","5,472","14,017","1,729",,,,,,,
"        Rate per 100,000 inhabitants",,479.7,2.9,26.4,99.1,351.3,"4,066.3","1,048.7","2,686.3",331.4,,,,,,,
"Lancaster, PA M.S.A.","484,369", ,,,,, ,,,,,,,,,,
    (Includes Lancaster County.),,,,,,,,,,,,,,,,,
        City of Lancaster,"55,534",368,3,31,181,153,"3,092",430,"2,381",281,,,,,,,
        Total area actually reporting,95.8%,830,7,97,317,409,"10,780","1,829","8,221",730,,,,,,,
        Estimated total,100.0%,877,7,100,330,440,"11,215","1,891","8,565",759,,,,,,,
"        Rate per 100,000 inhabitants",,181.1,1.4,20.6,68.1,90.8,"2,315.4",390.4,"1,768.3",156.7,,,,,,,
"Lansing-East Lansing, MI M.S.A.1","457,312",,,,,,,,,,,,,,,,
"    (Includes Clinton, Eaton, and Ingham Counties.)",, ,,,,,,,,,,,,,,,
        City of:,,,,,,,,,,,,,,,,,
            Lansing1,"118,762","1,176",10,110,229,827,"4,541","1,050","3,012",479,,,,,,,
            East Lansing,"47,398",188,3,19,33,133,"1,338",267,"1,020",51,,,,,,,
        Total area actually reporting,97.0%,"1,879",20,271,343,"1,245","12,694","2,732","9,110",852,,,,,,,
        Estimated total,100.0%,"1,918",20,276,352,"1,270","13,091","2,799","9,395",897,,,,,,,
"        Rate per 100,000 inhabitants",,419.4,4.4,60.4,77.0,277.7,"2,862.6",612.1,"2,054.4",196.1,,,,,,,
"Laredo, TX M.S.A.","217,203", ,,,,, ,,,,,,,,,,
    (Includes Webb County.),,,,,,,,,,,,,,,,,
        City of Laredo,"200,805","1,088",15,52,220,801,"13,397","2,064","10,304","1,029",,,,,,,
        Total area actually reporting,100.0%,"1,157",19,55,229,854,"13,780","2,195","10,524","1,061",,,,,,,
"        Rate per 100,000 inhabitants",,532.7,8.7,25.3,105.4,393.2,"6,344.3","1,010.6","4,845.2",488.5,,,,,,,
"Las Vegas-Paradise, NV M.S.A.","1,642,396",,,,,,,,,,,,,,,,
    (Includes Clark County.),, ,,,,,,,,,,,,,,,
        City of Las Vegas Metropolitan Police Department,"1,239,805","9,783",131,605,"3,729","5,318","59,654","14,224","29,265","16,165",,,,,,,
        Total area actually reporting,100.0%,"11,390",152,734,"4,263","6,241","74,731","17,935","37,084","19,712",,,,,,,
"        Rate per 100,000 inhabitants",,693.5,9.3,44.7,259.6,380.0,"4,550.1","1,092.0","2,257.9","1,200.2",,,,,,,
"Lawrence, KS M.S.A.","103,437", ,,,,, ,,,,,,,,,,
    (Includes Douglas County.),,,,,,,,,,,,,,,,,
        City of Lawrence,"82,482",367,2,47,64,254,"4,213",664,"3,329",220,,,,,,,
        Total area actually reporting,100.0%,423,2,56,67,298,"4,922",868,"3,811",243,,,,,,,
"        Rate per 100,000 inhabitants",,408.9,1.9,54.1,64.8,288.1,"4,758.5",839.2,"3,684.4",234.9,,,,,,,
"Lawton, OK M.S.A.","114,280", ,,,,, ,,,,,,,,,,
    (Includes Comanche County.),,,,,,,,,,,,,,,,,
        City of Lawton,"92,044",702,2,58,154,488,"5,207","1,377","3,595",235,,,,,,,
        Total area actually reporting,100.0%,784,5,61,155,563,"5,577","1,478","3,841",258,,,,,,,
"        Rate per 100,000 inhabitants",,686.0,4.4,53.4,135.6,492.6,"4,880.1","1,293.3","3,361.0",225.8,,,,,,,
"Lebanon, PA M.S.A.","123,057", ,,,,, ,,,,,,,,,,
    (Includes Lebanon County.),,,,,,,,,,,,,,,,,
        City of Lebanon,"23,973",184,1,16,61,106,"1,019",200,759,60,,,,,,,
        Total area actually reporting,89.0%,346,3,60,78,205,"2,426",465,"1,831",130,,,,,,,
        Estimated total,100.0%,377,3,62,86,226,"2,715",506,"2,059",150,,,,,,,
"        Rate per 100,000 inhabitants",,306.4,2.4,50.4,69.9,183.7,"2,206.3",411.2,"1,673.2",121.9,,,,,,,
"Lewiston, ID-WA M.S.A.","59,310", ,,,,, ,,,,,,,,,,
"    (Includes Nez Perce County, ID and Asotin County, WA.)",,,,,,,,,,,,,,,,,
"        City of Lewiston, ID","31,547",32,1,5,4,22,"1,364",211,"1,082",71,,,,,,,
        Total area actually reporting,98.1%,81,2,10,5,64,"2,181",348,"1,700",133,,,,,,,
        Estimated total,100.0%,85,2,11,5,67,"2,227",357,"1,734",136,,,,,,,
"        Rate per 100,000 inhabitants", ,143.3,3.4,18.5,8.4,113.0,"3,754.8",601.9,"2,923.6",229.3,,,,,,,
"Lewiston-Auburn, ME M.S.A.1","107,052",,,,,,,,,,,,,,,,
    (Includes Androscoggin County.),, ,,,,,,,,,,,,,,,
        City of:,,,,,,,,,,,,,,,,,
            Lewiston,"36,239",81,2,19,27,33,"1,362",263,"1,048",51,,,,,,,
            Auburn,"23,519",10,0,2,4,4,692,102,559,31,,,,,,,
        Total area actually reporting,100.0%,123,3,35,35,50,"2,865",547,"2,203",115,,,,,,,
"        Rate per 100,000 inhabitants",,114.9,2.8,32.7,32.7,46.7,"2,676.3",511.0,"2,057.9",107.4,,,,,,,
"Lexington-Fayette, KY M.S.A.","425,128", ,,,,, ,,,,,,,,,,
"    (Includes Bourbon, Clark, Fayette, Jessamine, Scott, and Woodford Counties.)",,,,,,,,,,,,,,,,,
        City of Lexington,"268,618","1,306",24,140,574,568,"10,204","2,224","7,207",773,,,,,,,
        Total area actually reporting,94.7%,"1,520",24,163,625,708,"14,104","2,907","10,216",981,,,,,,,
        Estimated total,100.0%,"1,573",24,168,642,739,"14,829","3,036","10,764","1,029",,,,,,,
"        Rate per 100,000 inhabitants",,370.0,5.6,39.5,151.0,173.8,"3,488.1",714.1,"2,531.9",242.0,,,,,,,
"Lima, OH M.S.A.","108,461", ,,,,, ,,,,,,,,,,
    (Includes Allen County.),,,,,,,,,,,,,,,,,
        City of Lima,"40,631",465,5,90,147,223,"2,832",852,"1,823",157,,,,,,,
        Total area actually reporting,96.5%,535,6,102,167,260,"4,349","1,105","3,042",202,,,,,,,
        Estimated total,100.0%,542,6,103,170,263,"4,463","1,125","3,129",209,,,,,,,
"        Rate per 100,000 inhabitants",,499.7,5.5,95.0,156.7,242.5,"4,114.8","1,037.2","2,884.9",192.7,,,,,,,
"Lincoln, NE M.S.A.","278,931", ,,,,, ,,,,,,,,,,
    (Includes Lancaster and Seward Counties.),,,,,,,,,,,,,,,,,
        City of Lincoln,"236,667","1,236",6,131,193,906,"13,160","1,899","10,826",435,,,,,,,
        Total area actually reporting,100.0%,"1,270",7,144,200,919,"14,328","2,144","11,713",471,,,,,,,
"        Rate per 100,000 inhabitants",,455.3,2.5,51.6,71.7,329.5,"5,136.8",768.6,"4,199.2",168.9,,,,,,,
"Little Rock-North Little Rock, AR M.S.A.1","634,500",,,,,,,,,,,,,,,,
"    (Includes Faulkner, Grant, Lonoke, Perry, Pulaski, and Saline Counties.)",, ,,,,,,,,,,,,,,,
        City of:,,,,,,,,,,,,,,,,,
            Little Rock,"185,870","3,048",40,118,902,"1,988","16,482","3,824","11,708",950,,,,,,,
            North Little Rock,"60,276",752,7,48,183,514,"5,395","1,031","3,939",425,,,,,,,
        Total area actually reporting,89.5%,"4,968",65,289,"1,218","3,396","34,443","7,649","24,613","2,181",,,,,,,
        Estimated total,100.0%,"5,167",69,310,"1,231","3,557","36,009","8,220","25,477","2,312",,,,,,,
"        Rate per 100,000 inhabitants",,814.3,10.9,48.9,194.0,560.6,"5,675.2","1,295.5","4,015.3",364.4,,,,,,,
"Logan, UT-ID M.S.A.","109,301", ,,,,, ,,,,,,,,,,
"    (Includes Franklin County, ID and Cache County, UT.)",,,,,,,,,,,,,,,,,
"        City of Logan, UT","44,373",32,0,12,4,16,"1,001",163,804,34,,,,,,,
        Total area actually reporting,100.0%,70,0,26,4,40,"1,958",350,"1,537",71,,,,,,,
"        Rate per 100,000 inhabitants",,64.0,0.0,23.8,3.7,36.6,"1,791.4",320.2,"1,406.2",65.0,,,,,,,
"Longview, TX M.S.A.","201,484", ,,,,, ,,,,,,,,,,
"    (Includes Gregg, Rusk, and Upshur Counties.)",,,,,,,,,,,,,,,,,
        City of Longview,"74,503",791,3,34,159,595,"4,361",982,"3,039",340,,,,,,,
        Total area actually reporting,99.4%,"1,356",15,114,202,"1,025","9,453","2,083","6,674",696,,,,,,,
        Estimated total,100.0%,"1,359",15,114,203,"1,027","9,502","2,092","6,710",700,,,,,,,
"        Rate per 100,000 inhabitants",,674.5,7.4,56.6,100.8,509.7,"4,716.0","1,038.3","3,330.3",347.4,,,,,,,
"Longview, WA M.S.A.","96,269",,,,,,,,,,,,,,,,
    (Includes Cowlitz County.),, ,,,,,,,,,,,,,,,
        City of Longview,"36,163",171,3,25,34,109,"3,246",689,"2,253",304,,,,,,,
        Total area actually reporting,100.0%,357,5,49,61,242,"5,808","1,306","3,916",586,,,,,,,
