Table 6,,,,,,,,,,,,,,,,,
Index of Crime,,,,,,,,,,,,,,,,,
"by Metropolitan Statistical Area, 2002",,, ,,,,,,,,,,,,,,
Metropolitan Statistical Area,Population,Crime Index  ,Modified Crime Index1,Violent crime2,Property crime2,Murder and non-negligent man-     slaughter,Forcible rape,Robbery,Aggravated assault,Burglary,Larceny-theft,Motor vehicle theft,Arson1,,,,
"Rocky Mount, NC M.S.A.","147,839",, ,,,,,,,,,,,,,,
    (Includes Edgecombe and Nash Counties.),,,,,,,,,,,,,,,,,
         City of Rocky Mount ,"57,774","5,710",,452,"5,258",4,13,174,261,"1,148","3,835",275,,,,,
         Total area actually reporting,99.4%,"8,228",,664,"7,564",10,23,229,402,"1,971","5,180",413,,,,,
         Estimated total,100.0%,"8,278",,667,"7,611",10,23,230,404,"1,981","5,215",415,,,,,
"         Rate per 100,000 inhabitants",,"5,599.3",,451.2,"5,148.2",6.8,15.6,155.6,273.3,"1,340.0","3,527.5",280.7,,,,,
"Sacramento, CA M.S.A.","1,688,014",, ,, ,,,,,,, , ,,,,
"    (Includes El Dorado, Placer, and Sacramento Counties.)",,,,,, , , , , , ,,,,,,
         City of Sacramento ,"421,971","30,780",,"3,547","27,233",47,185,"1,734","1,581","5,019","15,548","6,666",,,,,
         Total area actually reporting,100.0%,"81,534",,"9,144","72,390",87,596,"3,151","5,310","14,979","42,928","14,483",,,,,
"         Rate per 100,000 inhabitants",,"4,830.2", ,541.7,"4,288.5",5.2,35.3,186.7,314.6,887.4,"2,543.1",858.0,,,,,
"Saginaw-Bay City-Midland, MI M.S.A.","407,613",,,, ,,,,,, ,,,,,,
"    (Includes Bay, Midland, and Saginaw Counties.)",, , , , ,,,,, ,,,,,,,
        City of:,,, ,,,,,,,,,,,,,,
            Saginaw,"62,496","4,848",,"1,511","3,337",17,86,215,"1,193","1,129","1,830",378,,,,,
            Bay City,"37,232","1,618",,167,"1,451",0,20,27,120,309,"1,037",105,,,,,
            Midland,"42,154",955,,76,879,0,27,7,42,131,721,27,,,,,
         Total area actually reporting,100.0%,"15,340",,"2,517","12,823",19,250,332,"1,916","2,934","8,968",921,,,,,
"         Rate per 100,000 inhabitants",,"3,763.4", ,617.5,"3,145.9",4.7,61.3,81.4,470.1,719.8,"2,200.1",225.9,,,,,
"Salem, OR M.S.A.","357,375", , ,,,,,,,,,, ,,,,
    (Includes Marion and Polk Counties.),,,,,,,,,,,,,,,,,
         City of Salem ,"140,931","12,389",,344,"12,045",6,79,156,103,"1,415","9,277","1,353",,,,,
         Total area actually reporting,99.7%,"22,622",,858,"21,764",8,132,226,492,"2,919","16,299","2,546",,,,,
         Estimated total,100.0%,"22,669",,860,"21,809",8,132,227,493,"2,925","16,333","2,551",,,,,
"         Rate per 100,000 inhabitants",,"6,343.2",,240.6,"6,102.6",2.2,36.9,63.5,138.0,818.5,"4,570.3",713.8,,,,,
"Salinas, CA M.S.A.","416,522",,,,, ,,,,,,,,,,,
    (Includes Monterey County.),,, ,, ,, , , , , , ,,,,,
         City of:,,,,,,,,,,,,,,,,,
            Salinas,"156,609","6,834",,"1,138","5,696",20,59,367,692,757,"4,013",926,,,,,
            Monterey,"30,764","1,369",,132,"1,237",0,15,31,86,255,907,75,,,,,
         Total area actually reporting,100.0%,"14,426",,"1,953","12,473",28,141,574,"1,210","2,527","8,557","1,389",,,,,
"         Rate per 100,000 inhabitants",,"3,463.4", ,468.9,"2,994.6",6.7,33.9,137.8,290.5,606.7,"2,054.4",333.5,,,,,
"Salt Lake City-Ogden, UT M.S.A.","1,383,544",,,,,,,,,,,,,,,,
"    (Includes Davis, Salt Lake, and Weber Counties.)",,, , , , , , , , , , ,,,,,
        City of:, ,,, ,,,,,,,,, ,,,,
            Salt Lake City ,"188,504","19,059",,"1,233","17,826",11,109,478,635,"2,512","13,337","1,977",,,,,
            Ogden,"80,099","5,332",,473,"4,859",5,89,93,286,914,"3,505",440,,,,,
            Clearfield,"26,941",980,,50,930,0,17,5,28,180,685,65,,,,,
         Total area actually reporting,99.9%,"74,458",,"4,189","70,269",31,642,"1,041","2,475","10,535","53,423","6,311",,,,,
         Estimated total,100.0%,"74,476",,"4,190","70,286",31,642,"1,041","2,476","10,538","53,436","6,312",,,,,
"         Rate per 100,000 inhabitants",,"5,383.0", ,302.8,"5,080.1",2.2,46.4,75.2,179.0,761.7,"3,862.3",456.2,,,,,
"San Angelo, TX M.S.A.","108,640",,,,,,,,,,,,,,,,
    (Includes Tom Green County.),,,,,,,,,,,,,,,,,
         City of San Angelo ,"92,375","5,718",,392,"5,326",0,55,50,287,"1,048","4,055",223,,,,,
         Total area actually reporting,100.0%,"6,144",,407,"5,737",0,63,50,294,"1,157","4,335",245,,,,,
"         Rate per 100,000 inhabitants",,"5,655.4", ,374.6,"5,280.7",0.0,58.0,46.0,270.6,"1,065.0","3,990.2",225.5,,,,,
"San Antonio, TX M.S.A.","1,663,258",,,,,,,,,,,,,,,,
"    (Includes Bexar, Comal, Guadalupe, and Wilson Counties.)",,,,, ,,,,,,,,,,,,
         City of:,,,,,,,,,,,,,,,,,
            San Antonio,"1,195,592","94,132",,"9,769","84,363",100,464,"2,114","7,091","13,368","65,251","5,744",,,,,
            New Braunfels,"38,119","2,726",,292,"2,434",1,18,24,249,327,"2,001",106,,,,,
         Total area actually reporting,100.0%,"112,691",,"11,259","101,432",121,610,"2,323","8,205","16,796","77,978","6,658",,,,,
"         Rate per 100,000 inhabitants",,"6,775.3", ,676.9,"6,098.4",7.3,36.7,139.7,493.3,"1,009.8","4,688.3",400.3,,,,,
"San Diego, CA M.S.A.","2,917,208",,,, ,,,,,,,,,,,,
    (Includes San Diego County.),,,,,, , , , , , , ,,,,,
         City of:,,,,,,,,,,,,,,,,,
            San Diego,"1,268,346","50,124",,"7,193","42,931",47,330,"1,627","5,189","7,639","24,577","10,715",,,,,
            Escondido,"138,466","5,495",,608,"4,887",4,40,165,399,960,"3,111",816,,,,,
            Coronado,"24,986",403,,23,380,0,7,7,9,101,233,46,,,,,
         Total area actually reporting,100.0%,"105,363",,"14,028","91,335",87,798,"3,342","9,801","18,199","53,252","19,884",,,,,
"         Rate per 100,000 inhabitants",,"3,611.8",,480.9,"3,130.9",3.0,27.4,114.6,336.0,623.8,"1,825.4",681.6,,,,,
"San Francisco, CA M.S.A.","1,794,784",,,,,,,,,,,,,,,,
"    (Includes Marin, San Francisco, and San Mateo Counties.)",,,,,,,,,,,,,,,,,
         City of San Francisco ,"805,269","42,671",,"6,059","36,612",68,210,"3,208","2,573","5,947","24,468","6,197",,,,,
         Total area actually reporting,100.0%,"69,039",,"8,664","60,375",93,409,"4,058","4,104","9,953","41,187","9,235",,,,,
"         Rate per 100,000 inhabitants",,"3,846.6",,482.7,"3,363.9",5.2,22.8,226.1,228.7,554.6,"2,294.8",514.5,,,,,
"San Jose, CA M.S.A.","1,744,400",,,,,,,,,,,,,,,,
    (Includes Santa Clara County.),,,,,,,,,,,,,,,,,
         City of:,,, ,,,,,,,,,,,,,,
            San Jose,"927,821","24,139",,"4,134","20,005",26,379,827,"2,902","3,026","13,642","3,337",,,,,
            Sunnyvale,"136,601","2,569",,192,"2,377",2,24,70,96,322,"1,837",218,,,,,
            Santa Clara,"106,121","3,228",,311,"2,917",4,19,62,226,417,"2,188",312,,,,,
            Palo Alto,"60,751","1,778",,107,"1,671",1,7,45,54,223,"1,353",95,,,,,
            Gilroy,"42,987","1,754",,314,"1,440",0,26,69,219,185,"1,083",172,,,,,
         Total area actually reporting,100.0%,"46,147",,"6,232","39,915",37,543,"1,298","4,354","6,094","28,793","5,028",,,,,
"         Rate per 100,000 inhabitants",,"2,645.4",,357.3,"2,288.2",2.1,31.1,74.4,249.6,349.3,"1,650.6",288.2,,,,,
"San Luis Obispo-Atascadero-Paso Robles, CA M.S.A.","255,744",,,,,,,,,,,,,,,,
    (Includes San Luis Obispo County.),,, ,,,,,,,,,,,,,,
        City of:,,,,,,,,,,,,,,,,,
            San Luis Obispo,"45,796","2,093",,160,"1,933",0,32,19,109,318,"1,489",126,,,,,
            Atascadero,"27,381",922,,89,833,1,13,14,61,185,592,56,,,,,
            Paso Robles,"25,190",978,,116,862,0,11,12,93,321,483,58,,,,,
         Total area actually reporting,100.0%,"7,603",,699,"6,904",3,95,78,523,"1,493","4,913",498,,,,,
"         Rate per 100,000 inhabitants",,"2,972.9", ,273.3,"2,699.6",1.2,37.1,30.5,204.5,583.8,"1,921.1",194.7,,,,,
"Santa Cruz-Watsonville, CA M.S.A.","264,993",,,,,,,,,,,,,,,,
    (Includes Santa Cruz County.),,,,,,,,,,,,,,,,,
        City of:,,, ,,,,,,,,,,,,,,
            Santa Cruz,"56,599","3,569", ,460,"3,109",4,43,97,316,534,"2,371",204,,,,,
            Watsonville,"45,891","2,259",,322,"1,937",0,23,84,215,293,"1,533",111,,,,,
         Total area actually reporting,100.0%,"10,136",,"1,099","9,037",6,109,238,746,"1,676","6,844",517,,,,,
"         Rate per 100,000 inhabitants",,"3,825.0", ,414.7,"3,410.3",2.3,41.1,89.8,281.5,632.5,"2,582.7",195.1,,,,,
"Santa Fe, NM M.S.A.","155,169",,,,,,,,,,,,,,,,
    (Includes Los Alamos and Santa Fe Counties.),,,,,,,,,,,,,,,,,
         City of Santa Fe ,"63,435","4,929",,406,"4,523",8,38,90,270,"2,059","2,251",213,,,,,
         Total area actually reporting,94.3%,"6,596",,687,"5,909",8,66,110,503,"2,639","2,974",296,,,,,
         Estimated total,100.0%,"6,928",,731,"6,197",8,70,113,540,"2,700","3,177",320,,,,,
"         Rate per 100,000 inhabitants",,"4,464.8", ,471.1,"3,993.7",5.2,45.1,72.8,348.0,"1,740.0","2,047.4",206.2,,,,,
"Santa Rosa, CA M.S.A.","475,463",,,,,,,,,,,,,,,,
    (Includes Sonoma County.),,, ,, , , , , , , , ,,,,,
         City of:,,,,,,,,,,,,,,,,,
            Santa Rosa,"153,018","6,531",,625,"5,906",6,93,167,359,974,"4,213",719,,,,,
            Petaluma,"56,552","1,607",,78,"1,529",2,7,17,52,225,"1,209",95,,,,,
         Total area actually reporting,100.0%,"16,061",,"1,472","14,589",16,188,295,973,"3,107","9,985","1,497",,,,,
"         Rate per 100,000 inhabitants",,"3,378.0", ,309.6,"3,068.4",3.4,39.5,62.0,204.6,653.5,"2,100.1",314.9,,,,,
"Sarasota-Bradenton, FL M.S.A.","616,934",,,,,,,,,,,,,,,,
    (Includes Manatee and Sarasota Counties.),, ,,,,,,,,,,,,,,,
        City of:,,,,,,,,,,,,,,,,,
            Sarasota,"55,125","4,699",,632,"4,067",1,40,219,372,955,"2,819",293,,,,,
            Bradenton,"51,768","3,758",,458,"3,300",8,32,151,267,769,"2,180",351,,,,,
         Total area actually reporting,100.0%,"31,396",,"3,854","27,542",22,223,855,"2,754","6,660","19,098","1,784",,,,,
"         Rate per 100,000 inhabitants",,"5,089.0", ,624.7,"4,464.3",3.6,36.1,138.6,446.4,"1,079.5","3,095.6",289.2,,,,,
"Savannah, GA M.S.A.","306,380",, ,,,,,,,,,,,,,,
"    (Includes Bryan, Chatham, and Effingham Counties.)",,,,,,,,,,,,,,,,,
         City of Savannah,"137,516","11,595",,"1,189","10,406",32,58,650,449,"1,985","6,884","1,537",,,,,
         Total area actually reporting,98.4%,"17,960",,"1,873","16,087",42,85,818,928,"3,353","10,680","2,054",,,,,
         Estimated total,100.0%,"18,257",,"1,897","16,360",42,86,826,943,"3,400","10,881","2,079",,,,,
"         Rate per 100,000 inhabitants",,"5,958.9", ,619.2,"5,339.8",13.7,28.1,269.6,307.8,"1,109.7","3,551.5",678.6,,,,,
"Scranton--Wilkes-Barre--Hazelton, PA M.S.A.","627,525",,,,,,,,,,,,,,,,
"    (Includes Columbia, Lackawanna, Luzerne, and Wyoming Counties.)",,,,,,,,,,,,,,,,,
        City of:,,,,,,,,,,,,,,,,,
            Scranton,"76,751","2,549",,222,"2,327",1,39,92,90,503,"1,636",188,,,,,
            Wilkes-Barre,"43,312","2,329",,252,"2,077",3,15,113,121,378,"1,485",214,,,,,
         Total area actually reporting,76.0%,"12,399",,"1,282","11,117",18,139,349,776,"2,093","8,112",912,,,,,
         Estimated total,100.0%,"15,943",,"1,620","14,323",21,164,436,999,"2,554","10,618","1,151",,,,,
"         Rate per 100,000 inhabitants",,"2,540.6", ,258.2,"2,282.5",3.3,26.1,69.5,159.2,407.0,"1,692.0",183.4,,,,,
"Seattle-Bellevue-Everett, WA M.S.A.","2,486,255",,,,,,,,,,,,,,,,
"    (Includes Island, King, and Snohomish Counties.)",,,, ,,,,,,,,,,,,,
        City of:,,, ,,,,,,,,,,,,,,
            Seattle,"580,089","46,432",,"4,092","42,340",26,152,"1,576","2,338","7,290","26,742","8,308",,,,,
            Bellevue,"112,819","4,640",,140,"4,500",0,26,48,66,606,"3,349",545,,,,,
            Everett,"94,203","6,745",,507,"6,238",3,54,185,265,839,"3,724","1,675",,,,,
         Total area actually reporting,96.4%,"126,151",,"8,563","117,588",71,860,"2,959","4,673","19,936","74,686","22,966",,,,,
         Estimated total,100.0%,"129,769",,"8,785","120,984",73,897,"3,013","4,802","20,615","76,891","23,478",,,,,
"         Rate per 100,000 inhabitants",,"5,219.5", ,353.3,"4,866.1",2.9,36.1,121.2,193.1,829.2,"3,092.6",944.3,,,,,
"Sharon, PA M.S.A.","120,822",,,,,,,,,,,,,,,,
    (Includes Mercer County.),,,,,,,,,,,,,,,,,
         City of Sharon,"16,400",791,,158,633,0,8,24,126,148,448,37,,,,,
         Total area actually reporting,83.3%,"2,551",,270,"2,281",1,19,45,205,495,"1,656",130,,,,,
         Estimated total,100.0%,"3,026",,315,"2,711",1,22,57,235,557,"1,992",162,,,,,
"         Rate per 100,000 inhabitants",,"2,504.5", ,260.7,"2,243.8",0.8,18.2,47.2,194.5,461.0,"1,648.7",134.1,,,,,
"Sheboygan, WI M.S.A.","114,274",,,,,,,,,,,,,,,,
    (Includes Sheboygan County.),,,,,,,,,,,,,,,,,
         City of Sheboygan,"51,526","2,460",,89,"2,371",0,36,16,37,281,"2,004",86,,,,,
         Total area actually reporting,100.0%,"3,495",,133,"3,362",0,40,17,76,415,"2,824",123,,,,,
"         Rate per 100,000 inhabitants",,"3,058.4",,116.4,"2,942.1",0.0,35.0,14.9,66.5,363.2,"2,471.3",107.6,,,,,
"Sherman-Denison, TX M.S.A.","115,518",,,, ,,,,,,,,,,,,
    (Includes Grayson County.),,,, ,,,,,,,,,,,,,
        City of:,,,, ,,,,,,,,,,,,,
            Sherman,"36,643","2,378",,180,"2,198",0,12,56,112,359,"1,742",97,,,,,
            Denison,"23,787","1,267",,69,"1,198",0,0,22,47,240,861,97,,,,,
         Total area actually reporting,100.0%,"4,889",,318,"4,571",3,22,81,212,943,"3,357",271,,,,,
"         Rate per 100,000 inhabitants",,"4,232.2", ,275.3,"3,957.0",2.6,19.0,70.1,183.5,816.3,"2,906.0",234.6,,,,,
"Shreveport-Bossier City, LA M.S.A.","393,503",,,,,,,,,,,,,,,,
"    (Includes Bossier, Caddo, and Webster Parishes.)",,, ,,, , , , , , , ,,,,,
        City of:,,,,, ,,,,,,,,,,,,
            Shreveport,"200,757","16,389",,"2,044","14,345",40,119,667,"1,218","3,350","9,346","1,649",,,,,
            Bossier City,"56,634","4,187",,525,"3,662",7,32,95,391,762,"2,572",328,,,,,
         Total area actually reporting,100.0%,"24,145",,"2,947","21,198",55,180,798,"1,914","4,835","14,209","2,154",,,,,
"         Rate per 100,000 inhabitants",,"6,135.9",,748.9,"5,387.0",14.0,45.7,202.8,486.4,"1,228.7","3,610.9",547.4,,,,,
"Sioux City, IA-NE M.S.A.","124,712",,,,,,,,,,,,,,,,
"    (Includes Woodbury County, IA and Dakota County, NE.)",,,,,,,,,,,,,,,,,
"         City of Sioux City, IA","85,316","5,933",,554,"5,379",3,45,72,434,"1,235","3,770",374,,,,,
         Total area actually reporting,100.0%,"6,788",,617,"6,171",3,51,78,485,"1,409","4,349",413,,,,,
"         Rate per 100,000 inhabitants",,"5,442.9", ,494.7,"4,948.2",2.4,40.9,62.5,388.9,"1,129.8","3,487.2",331.2,,,,,
"Sioux Falls, SD M.S.A.","173,837",,,,,,,,,,,,,,,,
    (Includes Lincoln and Minnehaha Counties.),,,,, , , , , ,, ,,,,,,
         City of Sioux Falls,"124,997","4,189",,396,"3,793",1,115,52,228,652,"2,946",195,,,,,
         Total area actually reporting,90.6%,"4,583",,426,"4,157",1,123,52,250,802,"3,136",219,,,,,
         Estimated total,100.0%,"5,034",,454,"4,580",1,134,54,265,873,"3,472",235,,,,,
"         Rate per 100,000 inhabitants",,"2,895.8", ,261.2,"2,634.7",0.6,77.1,31.1,152.4,502.2,"1,997.3",135.2,,,,,
"South Bend, IN M.S.A.","268,991",,,,,,,,,, , ,,,,,
    (Includes St. Joseph County.),,,,, , , , , , ,,,,,,,
         City of South Bend,"109,182","8,203",,820,"7,383",20,93,354,353,"1,826","4,983",574,,,,,
         Total area actually reporting,99.5%,"15,019",,"1,088","13,931",22,125,435,506,"2,898","10,030","1,003",,,,,
         Estimated total,100.0%,"15,081",,"1,092","13,989",22,125,436,509,"2,906","10,075","1,008",,,,,
"         Rate per 100,000 inhabitants",,"5,606.5", ,406.0,"5,200.5",8.2,46.5,162.1,189.2,"1,080.3","3,745.5",374.7,,,,,
"Spokane, WA M.S.A.","430,339",,,,,,,,,,,,,,,,
    (Includes Spokane County.),,,,,,,,,,,,,,,,,
         City of Spokane,"201,433","15,895",,"1,302","14,593",20,83,379,820,"2,660","10,248","1,685",,,,,
         Total area actually reporting,98.0%,"24,322",,"1,764","22,558",20,146,481,"1,117","4,336","15,775","2,447",,,,,
         Estimated total,100.0%,"24,780", ,"1,788","22,992",20,150,488,"1,130","4,404","16,073","2,515",,,,,
"         Rate per 100,000 inhabitants",,"5,758.3", ,415.5,"5,342.8",4.6,34.9,113.4,262.6,"1,023.4","3,735.0",584.4,,,,,
"Springfield, MO M.S.A.","330,225",,,,,,,,,,,,,,,,
"    (Includes Christian, Greene, and Webster Counties.)",,,,,,, ,,,,,,,,,,
         City of Springfield,"153,675","12,066",,"1,061","11,005",4,102,222,733,"1,882","8,352",771,,,,,
         Total area actually reporting,100.0%,"16,160",,"1,542","14,618",6,118,239,"1,179","2,747","10,833","1,038",,,,,
"         Rate per 100,000 inhabitants",,"4,893.6",,467.0,"4,426.7",1.8,35.7,72.4,357.0,831.9,"3,280.5",314.3,,,,,
"Stamford-Norwalk, CT M.S.A.","359,259",,,,,,,,,,,,,,,,
    (Includes part of Fairfield County.),,,,,,,,,,,,,,,,,
        City of:,,,,,,,,,,,,,,,,,
            Stamford,"118,971","2,398",,280,"2,118",2,14,147,117,249,"1,571",298,,,,,
            Norwalk,"84,289","2,949",,333,"2,616",2,12,106,213,410,"1,944",262,,,,,
         Total area actually reporting,100.0%,"6,785",,654,"6,131",4,33,268,349,860,"4,609",662,,,,,
"         Rate per 100,000 inhabitants",,"1,888.6",,182.0,"1,706.6",1.1,9.2,74.6,97.1,239.4,"1,282.9",184.3,,,,,
"State College, PA M.S.A.","136,356",,,,,,,,,,,,,,,,
    (Includes Centre County.),,,,,, ,, , , , , ,,,,,
         City of State College,"51,792",925,,45,880,2,7,10,26,87,777,16,,,,,
         Total area actually reporting,100.0%,"2,782",,159,"2,623",4,38,22,95,321,"2,233",69,,,,,
"         Rate per 100,000 inhabitants",,"2,040.2", ,116.6,"1,923.6",2.9,27.9,16.1,69.7,235.4,"1,637.6",50.6,,,,,
"St. Cloud, MN M.S.A.","170,803",, ,,,,,,,,,,,,,,
    (Includes Benton and Stearns Counties.),,,,,,,,,,,,,,,,,
         City of St. Cloud,"54,208","2,911",,172,"2,739",0,46,33,93,275,"2,310",154,,,,,
         Total area actually reporting,100.0%,"5,545",,327,"5,218",1,111,41,174,627,"4,317",274,,,,,
"         Rate per 100,000 inhabitants",,"3,246.4",,191.4,"3,055.0",0.6,65.0,24.0,101.9,367.1,"2,527.5",160.4,,,,,
"Steubenville-Weirton, OH-WV M.S.A.","132,244",,,,,,,,,,,,,,,,
"    (Includes Jefferson County, OH and Brooke and Hancock Counties, WV.)",,,,,,,,,,,,,,,,,
        City of:,,,,,,,,,,,,,,,,,
"            Steubenville, OH","19,129","1,227",,158,"1,069",0,16,46,96,150,851,68,,,,,
"            Weirton, WV","20,338",359,,22,337,0,2,7,13,75,251,11,,,,,
         Total area actually reporting,88.7%,"2,350",,279,"2,071",1,24,66,188,388,"1,548",135,,,,,
         Estimated total,100.0%,"2,718",,308,"2,410",1,26,69,212,462,"1,774",174,,,,,
"         Rate per 100,000 inhabitants",,"2,055.3",,232.9,"1,822.4",0.8,19.7,52.2,160.3,349.4,"1,341.5",131.6,,,,,
"St. Joseph, MO M.S.A.","103,907",,, ,,,,,,,,,,,,,
    (Includes Andrew and Buchanan Counties.),,,,,,,,,,,,,,,,,
         City of St. Joseph,"75,013","4,738",,193,"4,545",0,20,67,106,689,"3,652",204,,,,,
         Total area actually reporting,99.7%,"5,222",,222,"5,000",0,22,69,131,787,"3,976",237,,,,,
         Estimated total,100.0%,"5,233",,223,"5,010",0,22,69,132,788,"3,984",238,,,,,
"         Rate per 100,000 inhabitants",,"5,036.2",,214.6,"4,821.6",0.0,21.2,66.4,127.0,758.4,"3,834.2",229.1,,,,,
"Stockton-Lodi, CA M.S.A.","584,304",,,,,,,,,,,,,,,,
    (Includes San Joaquin County.),, ,,, ,, , , , , , ,,,,,
        City of:,,,,,, ,,,,,,,,,,,
            Stockton,"252,727","21,114",,"3,693","17,421",36,141,"1,171","2,345","2,965","11,003","3,453",,,,,
            Lodi,"59,093","3,293",,288,"3,005",4,6,75,203,436,"2,083",486,,,,,
         Total area actually reporting,100.0%,"37,878",,"5,475","32,403",59,211,"1,540","3,665","6,110","20,329","5,964",,,,,
"         Rate per 100,000 inhabitants",,"6,482.6", ,937.0,"5,545.6",10.1,36.1,263.6,627.2,"1,045.7","3,479.2","1,020.7",,,,,
"Sumter, SC M.S.A.","107,128",,,,,,,,,,,,,,,,
    (Includes Sumter County.),, ,,, ,, , , , , , ,,,,,
         City of Sumter,"40,583","3,592",,528,"3,064",4,20,120,384,671,"2,095",298,,,,,
         Total area actually reporting,99.0%,"6,584",,"1,082","5,502",9,46,205,822,"1,509","3,408",585,,,,,
         Estimated total,100.0%,"6,642",,"1,088","5,554",9,46,206,827,"1,518","3,448",588,,,,,
"         Rate per 100,000 inhabitants",,"6,200.1", ,"1,015.6","5,184.5",8.4,42.9,192.3,772.0,"1,417.0","3,218.6",548.9,,,,,
"Syracuse, NY M.S.A.","739,104",,,,,,,,,,,,,,,,
"    (Includes Cayuga, Madison, Onondaga, and Oswego Counties.)",,,, ,,,,,,,,,,,,,
        City of:,,,,,,,,,,,,,,,,,
            Syracuse,"148,712","9,791",,"1,519","8,272",23,43,551,902,"1,930","5,060","1,282",,,,,
            Auburn,"28,846","1,147",,70,"1,077",1,14,14,41,196,861,20,,,,,
         Total area actually reporting,98.3%,"23,530",,"2,382","21,148",33,140,728,"1,481","4,374","15,090","1,684",,,,,
         Estimated total,100.0%,"23,825",,"2,407","21,418",33,141,736,"1,497","4,413","15,303","1,702",,,,,
"         Rate per 100,000 inhabitants",,"3,223.5",,325.7,"2,897.8",4.5,19.1,99.6,202.5,597.1,"2,070.5",230.3,,,,,
"Tacoma, WA M.S.A.","721,613",,,,,,,,,, ,,,,,,
    (Includes Pierce County.),,,,, , , , , , ,, ,,,,,
         City of Tacoma,"199,299","20,182",,"2,182","18,000",19,171,715,"1,277","3,032","11,728","3,240",,,,,
         Total area actually reporting,99.0%,"44,237",,"3,997","40,240",29,402,"1,097","2,469","7,525","26,360","6,355",,,,,
         Estimated total,100.0%,"44,610",,"4,016","40,594",29,405,"1,103","2,479","7,580","26,603","6,411",,,,,
"         Rate per 100,000 inhabitants",,"6,182.0",,556.5,"5,625.5",4.0,56.1,152.9,343.5,"1,050.4","3,686.6",888.4,,,,,
"Tallahassee, FL M.S.A.","297,549",,,,,,,,,,,,,,,,
    (Includes Gadsden and Leon Counties.),,,,,,,,,,,,,,,,,
         City of Tallahassee,"157,511","11,880",,"1,617","10,263",9,151,384,"1,073","2,262","7,188",813,,,,,
         Total area actually reporting,100.0%,"17,508",,"2,452","15,056",14,230,526,"1,682","3,784","10,165","1,107",,,,,
"         Rate per 100,000 inhabitants",,"5,884.1", ,824.1,"5,060.0",4.7,77.3,176.8,565.3,"1,271.7","3,416.2",372.0,,,,,
"Tampa-St. Petersburg-Clearwater, FL M.S.A.","2,505,551",,,,,,,,,,,,,,,,
"    (Includes Hernando, Hillsborough, Pasco, and Pinellas Counties.)",,,,,,,,,,,,,,,,,
        City of:,,,,,,,,,,,,,,,,,
            Tampa ,"317,322","35,380",,"6,289","29,091",37,204,"2,334","3,714","6,283","16,088","6,720",,,,,
            St. Petersburg,"259,582","20,914",,"4,423","16,491",23,124,"1,027","3,249","3,628","10,550","2,313",,,,,
            Clearwater,"113,761","6,544",,"1,123","5,421",7,51,270,795,"1,181","3,799",441,,,,,
         Total area actually reporting,100.0%,"147,810",,"22,255","125,555",134,"1,135","5,638","15,348","28,455","80,175","16,925",,,,,
"         Rate per 100,000 inhabitants",,"5,899.3", ,888.2,"5,011.1",5.3,45.3,225.0,612.6,"1,135.7","3,199.9",675.5,,,,,
"Texarkana, TX-Texarkana, AR M.S.A.","134,279",,,,,,,,,,,,,,,,
"    (Includes Bowie County, TX and Miller County, AR.)",,,,,,,,,,,,,,,,,
        City of:,,,,,,,,,,,,,,,,,
"            Texarkana, TX ","36,330","2,983",,361,"2,622",5,31,97,228,602,"1,863",157,,,,,
"            Texarkana, AR ","26,811","1,916",,183,"1,733",2,10,35,136,285,"1,349",99,,,,,
         Total area actually reporting,100.0%,"6,508",,732,"5,776",8,50,151,523,"1,254","4,146",376,,,,,
"         Rate per 100,000 inhabitants",,"4,846.6", ,545.1,"4,301.5",6.0,37.2,112.5,389.5,933.9,"3,087.6",280.0,,,,,
"Toledo, OH M.S.A.3","621,914",,,,,,,,,,,,,,,,
"    (Includes Fulton, Lucas, and Wood Counties.)",,,,,,,,,,,,,,,,,
        City of:,,, ,,,,,,,,,,,,,,
            Toledo3,"315,501","26,717",,"3,183","23,534",28,185,"1,378","1,592","5,811","14,510","3,213",,,,,
            Bowling Green ,"29,814","1,102",,44,"1,058",0,6,13,25,185,829,44,,,,,
         Total area actually reporting,91.3%,"36,344",,"3,527","32,817",31,231,"1,490","1,775","7,291","21,793","3,733",,,,,
         Estimated total,100.0%,"37,569",,"3,590","33,979",32,244,"1,512","1,802","7,575","22,580","3,824",,,,,
"         Rate per 100,000 inhabitants",,"6,040.9", ,577.3,"5,463.6",5.1,39.2,243.1,289.8,"1,218.0","3,630.7",614.9,,,,,
"Topeka, KS M.S.A.3","171,606",,,,,,,,,,,,,,,,
    (Includes Shawnee County.),,,,,,,,,,,,,,,,,
         City of Topeka3,"123,627","11,294",,989,"10,305",8,73,409,499,"1,767","7,863",675,,,,,
         Total area actually reporting,99.2%,"12,572",,"1,108","11,464",8,82,429,589,"2,073","8,652",739,,,,,
         Estimated total,100.0%,"12,621",,"1,110","11,511",8,82,429,591,"2,080","8,688",743,,,,,
"         Rate per 100,000 inhabitants",,"7,354.6", ,646.8,"6,707.8",4.7,47.8,250.0,344.4,"1,212.1","5,062.8",433.0,,,,,
"Trenton, NJ M.S.A.","358,096",,,,,,,,,,,,,,,,
    (Includes Mercer County.),,,,,,,,,,,,,,,,,
         City of Trenton,"87,189","6,199",,"1,531","4,668",19,67,706,739,"1,173","2,400","1,095",,,,,
         Total area actually reporting,100.0%,"13,255",,"1,951","11,304",21,101,895,934,"2,375","7,162","1,767",,,,,
