Table 6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Index of Crime1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"by Metropolitan Statistical Area, 2001",,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
      Metropolitan Statistical Area,Population,Crime Index total,Modified Crime Index total2,Violent crime3,Property crime3,Murder and non-negligent man-     slaughter,Forcible rape,Robbery,Aggravated assault,Burglary,Larceny-theft,Motor vehicle theft,Arson2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Estimated total,100.0%,"41,719",,"4,658","37,061",23,553,880,"3,202","7,828","26,917","2,316",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"         Rate per 100,000 inhabitants",,"3,812.6",,425.7,"3,386.9",2.1,50.5,80.4,292.6,715.4,"2,459.9",211.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Great Falls, MT M.S.A.4","80,556",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    (Includes Cascade County.),,,,, , , , , , , , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         City of Great Falls,"56,831","3,906",,240,"3,666",2,12,31,195,341,"3,189",136,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Total area actually reporting,99.2%,"4,407", ,307,"4,100",2,14,34,257,416,"3,506",178,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Estimated total,100.0%,"4,444", ,308,"4,136",2,14,34,258,417,"3,541",178,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"         Rate per 100,000 inhabitants",,"5,516.7",  ,382.3,"5,134.3",2.5,17.4,42.2,320.3,517.7,"4,395.7",221.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Greeley, CO M.S.A.","185,835", ,  , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    (Includes Weld County.),,,,, , , , , , , , ,  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         City of Greeley,"79,013","4,303",,299,"4,004",4,45,47,203,557,"3,190",257,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Total area actually reporting,93.7%,"7,120",,611,"6,509",10,98,75,428,"1,211","4,835",463,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Estimated total,100.0%,"7,748",,658,"7,090",10,104,86,458,"1,287","5,262",541, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"         Rate per 100,000 inhabitants",,"4,169.3",,354.1,"3,815.2",5.4,56.0,46.3,246.5,692.5,"2,831.5",291.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Green Bay, WI M.S.A.","228,394",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    (Includes Brown County.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         City of Green Bay,"103,042 ","3,712",,272,"3,440",3,35,36,198,675,"2,561",204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Total area actually reporting,100.0%,"6,614",,330,"6,284",3,56,44,227,"1,090","4,861",333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"         Rate per 100,000 inhabitants",,"2,895.9",,144.5,"2,751.4",1.3,24.5,19.3,99.4,477.2,"2,128.3",145.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Greensboro-Winston-Salem-High Point, NC M.S.A.4","1,272,803",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"    (Includes Alamance, Davidson, Davie, Forsyth, Guilford, Randolph, Stokes, and Yadkin Counties.)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        City of:,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
            Greensboro,"227,700","15,962",,"1,869","14,093",20,89,896,864,"3,258","9,871",964, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
            Winston-Salem4,"188,937","16,037",,"1,766","14,271",15,120,701,930,"3,444","9,798","1,029",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
            High Point,"87,300","7,166",,773,"6,393",11,27,314,421,"1,807","3,968",618,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
            Burlington,"45,681","3,300",,285,"3,015",3,10,90,182,556,"2,324",135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Total area actually reporting,99.2%,"66,928",,"6,343","60,585",68,330,"2,356","3,589","14,964","41,706","3,915",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Estimated total,100.0%,"67,538",,"6,385","61,153",68,332,"2,370","3,615","15,079","42,132","3,942",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"         Rate per 100,000 inhabitants",,"5,306.2",,501.6,"4,804.6",5.3,26.1,186.2,284.0,"1,184.7","3,310.2",309.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Greenville, NC M.S.A.","136,075", ,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    (Includes Pitt County.),,,,, , , , , , , , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         City of Greenville,"61,505","6,554",,547,"6,007",3,20,175,349,"1,435","4,296",276,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Total area actually reporting,100.0%,"9,733",,865,"8,868",7,34,236,588,"2,301","6,148",419,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"         Rate per 100,000 inhabitants",,"7,152.7",,635.7,"6,517.0",5.1,25.0,173.4,432.1,"1,691.0","4,518.1",307.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Hagerstown, MD M.S.A.","133,882", ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    (Includes Washington County.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         City of Hagerstown,"37,232","1,919",,217,"1,702",1,6,70,140,346,"1,209",147,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Total area actually reporting,100.0%,"3,648",,510,"3,138",4,28,89,389,714,"2,156",268,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"         Rate per 100,000 inhabitants",,"2,724.8",,380.9,"2,343.9",3.0,20.9,66.5,290.6,533.3,"1,610.4",200.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Hamilton-Middletown, OH M.S.A.","333,405",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    (Includes Butler County.),, ,,, , , , , , , , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        City of:,,,,, , , , ,, , , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
            Hamilton,"60,799","5,595",,690,"4,905",5,66,221,398,"1,204","3,264",437,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
            Middletown,"51,698","3,265",,137,"3,128",2,18,61,56,518,"2,444",166,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Total area actually reporting,88.7%,"15,252",,"1,183","14,069",9,155,327,692,"2,760","10,389",920,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Estimated total,100.0%,"16,485",,"1,245","15,240",9,164,349,723,"2,944","11,304",992,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"         Rate per 100,000 inhabitants",,"4,944.4", ,373.4,"4,571.0",2.7,49.2,104.7,216.9,883.0,"3,390.5",297.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Harrisburg-Lebanon-Carlisle, PA M.S.A.","629,714",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"    (Includes Cumberland, Dauphin, Lebanon, and Perry Counties.)",,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        City of:,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
            Harrisburg,"48,974 ","3,150",,714,"2,436",9,42,379,284,558,"1,711",167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
            Lebanon,"24,473 ","1,344",,247,"1,097",0,17,46,184,197,840,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
            Carlisle,"17,979 ",647,,52,595,0,8,27,17,111,472,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Total area actually reporting,89.0%,"15,344",,"1,854","13,490",18,201,647,988,"2,458","10,396",636,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Estimated total,100.0%,"17,020",,"2,010","15,010",20,212,686,"1,092","2,667","11,589",754,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"         Rate per 100,000 inhabitants",,"2,702.8",,319.2,"2,383.6",3.2,33.7,108.9,173.4,423.5,"1,840.4",119.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Hartford, CT M.S.A.","982,108",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"    (Includes part of Hartford, Litchfield, Middlesex, New London, Tolland, and Windham Counties.)",,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        City of:,,,,, , , , ,, , , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
            Hartford,"122,274","10,789",,"1,593","9,196",25,64,889,615,"1,569","5,798","1,829",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
            Middletown,"43,414","1,239",,64,"1,175",2,8,26,28,215,822,138,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Total area actually reporting,100.0%,"34,719",,"3,364","31,355",39,204,"1,537","1,584","5,412","21,859","4,084",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"         Rate per 100,000 inhabitants",,"3,535.2",,342.5,"3,192.6",4.0,20.8,156.5,161.3,551.1,"2,225.7",415.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Hattiesburg, MS M.S.A.","112,199",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    (Includes Forrest and Lamar Counties.),,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         City of Hattiesburg,"44,989","2,977",,146,"2,831",6,20,72,48,644,"2,019",168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Total area actually reporting,79.8%,"3,898",,187,"3,711",6,38,77,66,880,"2,598",233,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Estimated total,100.0%,"4,494",,219,"4,275",8,44,82,85,"1,058","2,940",277,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"         Rate per 100,000 inhabitants",,"4,005.4", ,195.2,"3,810.2",7.1,39.2,73.1,75.8,943.0,"2,620.3",246.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Hickory-Morganton-Lenoir, NC M.S.A.","347,668", ,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"    (Includes Alexander, Burke, Caldwell, and Catawba Counties.)",,, , ,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        City of:,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
            Hickory,"37,855","3,293",,212,"3,081",6,9,91,106,571,"2,282",228,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
            Morganton,"17,605",957,,58,899,2,4,19,33,168,687,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
            Lenoir,"17,079",845,,60,785,1,1,22,36,159,584,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Total area actually reporting,99.4%,"13,401",,894,"12,507",19,54,231,590,"3,315","8,419",773,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Estimated total,100.0%,"13,518",,902,"12,616",19,54,234,595,"3,337","8,501",778,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"         Rate per 100,000 inhabitants",,"3,888.2",,259.4,"3,628.7",5.5,15.5,67.3,171.1,959.8,"2,445.1",223.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Honolulu, HI M.S.A.","885,605", ,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    (Includes Honolulu County.),,, , , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         City of Honolulu,"885,605","48,442",,"2,453","45,989",20,293,999,"1,141","7,340","33,052","5,597",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Total area actually reporting,100.0%,"48,442",,"2,453","45,989",20,293,999,"1,141","7,340","33,052","5,597",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"         Rate per 100,000 inhabitants",,"5,469.9",,277.0,"5,192.9",2.3,33.1,112.8,128.8,828.8,"3,732.1",632.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Houma, LA M.S.A.","194,323",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    (Includes Lafourche and Terrebonne Parishes.),,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         City of Houma,"32,367","2,212",,432,"1,780",4,15,70,343,307,"1,359",114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Total area actually reporting,98.7%,"8,930",,"1,084","7,846",10,48,164,862,"1,781","5,672",393,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Estimated total,100.0%,"9,082",,"1,101","7,981",10,49,167,875,"1,807","5,772",402,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"         Rate per 100,000 inhabitants",,"4,673.7", ,566.6,"4,107.1",5.1,25.2,85.9,450.3,929.9,"2,970.3",206.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Houston, TX M.S.A.","4,272,445",,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"    (Includes Chambers, Fort Bend, Harris, Liberty, Montgomery, and Waller Counties.)",,,, , , , , , , , , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        City of:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
            Houston,"1,997,965","141,987",,"23,419","118,568",267,945,"9,921","12,286","25,108","69,371","24,089",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
            Baytown,"67,938","3,053",,226,"2,827",4,34,56,132,546,"1,997",284,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
            Conroe,"37,646","2,782",,305,"2,477",2,17,96,190,480,"1,815",182,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Total area actually reporting,100.0%,"226,347",,"32,847","193,500",353,"1,623","12,194","18,677","42,760","118,581","32,159",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"         Rate per 100,000 inhabitants",,"5,297.8",,768.8,"4,529.0",8.3,38.0,285.4,437.2,"1,000.8","2,775.5",752.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Huntsville, AL M.S.A.","343,705",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    (Includes Limestone and Madison Counties.),,, ,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         City of Huntsville,"158,830","11,413",,"1,039","10,374",15,109,345,570,"1,802","7,802",770,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Total area actually reporting,100.0%,"15,520",,"1,359","14,161",18,134,411,796,"2,675","10,466","1,020",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"         Rate per 100,000 inhabitants",,"4,515.5",,395.4,"4,120.1",5.2,39.0,119.6,231.6,778.3,"3,045.1",296.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Iowa City, IA M.S.A.","110,887",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    (Includes Johnson County.),,,, , , , , , , , , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         City of Iowa City,"62,153","1,745",,259,"1,486",0,17,37,205,245,"1,176",65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Total area actually reporting,100.0%,"3,229",,432,"2,797",2,42,58,330,524,"2,154",119, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"         Rate per 100,000 inhabitants",,"2,912.0",,389.6,"2,522.4",1.8,37.9,52.3,297.6,472.6,"1,942.5",107.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Jackson, MI M.S.A.","159,257",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    (Includes Jackson County.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         City of Jackson,"37,595","3,354",,525,"2,829",0,48,105,372,453,"2,179",197,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Total area actually reporting,95.6%,"6,826",,862,"5,964",4,109,129,620,"1,170","4,317",477,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Estimated total,100.0%,"7,082",,884,"6,198",4,111,134,635,"1,208","4,485",505, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"         Rate per 100,000 inhabitants",,"4,446.9",,555.1,"3,891.8",2.5,69.7,84.1,398.7,758.5,"2,816.2",317.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Jackson, MS M.S.A.","442,875",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"    (Includes Hinds, Madison, and Rankin Counties.)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         City of Jackson,"185,122","18,586",,"1,966","16,620",50,218,"1,044",654,"4,683","8,972","2,965",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Total area actually reporting,81.3%,"23,741",,"2,282","21,459",59,264,"1,109",850,"5,878","12,261","3,320",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Estimated total,100.0%,"27,012",,"2,485","24,527",64,292,"1,157",972,"6,606","14,369","3,552",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"         Rate per 100,000 inhabitants",,"6,099.2",,561.1,"5,538.1",14.5,65.9,261.2,219.5,"1,491.6","3,244.5",802.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Jackson, TN M.S.A.","108,335",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    (Includes Chester and Madison Counties.),,,,, , , , , , , , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         City of Jackson,"62,035","4,626",,764,"3,862",12,27,180,545,852,"2,694",316,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Total area actually reporting,100.0%,"6,049",,980,"5,069",15,43,193,729,"1,197","3,477",395,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"         Rate per 100,000 inhabitants",,"5,583.6",,904.6,"4,679.0",13.8,39.7,178.2,672.9,"1,104.9","3,209.5",364.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Jacksonville, FL  M.S.A.","1,129,007",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"    (Includes Clay, Duval, Nassau, and St. Johns Counties.)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         City of Jacksonville,"754,679","51,250",,"7,388","43,862",75,287,"2,195","4,831","9,903","28,827","5,132",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Total area actually reporting,100.0%,"66,087",,"9,791","56,296",95,400,"2,473","6,823","12,565","37,775","5,956",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"         Rate per 100,000 inhabitants",,"5,853.6",,867.2,"4,986.3",8.4,35.4,219.0,604.3,"1,112.9","3,345.9",527.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Janesville-Beloit, WI M.S.A.","153,393",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    (Includes Rock County.),,, ,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        City of:,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
            Janesville,"59,922 ","3,195",,141,"3,054",1,16,20,104,503,"2,441",110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
            Beloit,"36,030 ","1,785",,139,"1,646",1,13,53,72,279,"1,245",122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Total area actually reporting,96.8%,"6,058",,345,"5,713",2,33,79,231,"1,047","4,385",281,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Estimated total,100.0%,"6,208",,351,"5,857",2,34,81,234,"1,063","4,506",288,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"         Rate per 100,000 inhabitants",,"4,047.1", ,228.8,"3,818.3",1.3,22.2,52.8,152.5,693.0,"2,937.6",187.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Jersey City, NJ M.S.A.","614,047",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    (Includes Hudson County.),,, ,, , , , , , , , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        City of:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
            Jersey City,"242,055 ","12,527",,"2,853","9,674",25,89,"1,301","1,438","2,350","4,911","2,413",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
            Bayonne,"62,357 ","1,343",,200,"1,143",3,2,74,121,222,750,171,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Total area actually reporting,100.0%,"24,596",,"4,121","20,475",34,116,"1,878","2,093","4,443","11,351","4,681",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"         Rate per 100,000 inhabitants",,"4,005.6",,671.1,"3,334.4",5.5,18.9,305.8,340.9,723.6,"1,848.6",762.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Johnson City-Kingsport-Bristol, TN-VA M.S.A.","484,972",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"    (Includes Carter, Hawkins, Sullivan, Unicoi, and Washington Counties, TN and Bristol City and Scott and Washington Counties, VA.)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        City of:,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"            Johnson City, TN","55,964","4,298",,386,"3,912",1,27,78,280,526,"3,203",183,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"            Kingsport, TN","45,305","2,992",,384,"2,608",2,26,36,320,409,"2,065",134,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"            Bristol, TN","25,042","1,211", ,122,"1,089",1,9,10,102,147,863,79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"            Bristol, VA","17,635",668,,53,615,3,4,7,39,74,509,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Total area actually reporting,99.4%,"17,299",,"1,892","15,407",15,137,186,"1,554","3,099","11,372",936,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Estimated total,100.0%,"17,446",,"1,904","15,542",15,138,189,"1,562","3,114","11,480",948,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"         Rate per 100,000 inhabitants",,"3,597.3",,392.6,"3,204.7",3.1,28.5,39.0,322.1,642.1,"2,367.1",195.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Johnstown, PA M.S.A.","232,737",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    (Includes Cambria and Somerset Counties.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         City of Johnstown,"28,603 ",983,,144,839,2,5,42,95,238,531,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Total area actually reporting,77.0%,"3,111",,429,"2,682",3,35,73,318,681,"1,794",207,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Estimated total,100.0%,"4,404",,549,"3,855",4,43,103,399,842,"2,715",298,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
