Table 6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Index of Crime,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"by Metropolitan Statistical Area, 2000",,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
      Metropolitan Statistical Area,Population,Crime Index total,Modified Crime Index total1,Violent crime2,Property crime3,Murder and non-negligent man-     slaughter,Forcible rape,Robbery,Aggravated assault,Burglary,Larceny-theft,Motor vehicle theft,Arson1,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Total area actually reporting,99.3%,"12,689",,882,"11,807",15,60,214,593,"3,293","7,858",656,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Estimated total,100.0%,"12,828",,892,"11,936",15,61,217,599,"3,318","7,955",663,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"         Rate per 100,000 inhabitants",,"3,742.2",,260.2,"3,482.0",4.4,17.8,63.3,174.7,967.9,"2,320.6",193.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Honolulu, HI M.S.A.","883,621", ,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,
    (Includes Honolulu County.),,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         City of Honolulu,"883,621","46,659",,"2,302","44,357",20,240,984,"1,058","6,946","32,197","5,214",,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Total area actually reporting,100.0%,"46,659",,"2,302","44,357",20,240,984,"1,058","6,946","32,197","5,214",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"         Rate per 100,000 inhabitants",,"5,280.4",,260.5,"5,019.9",2.3,27.2,111.4,119.7,786.1,"3,643.8",590.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Houma, LA M.S.A.","198,906",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    (Includes Lafourche and Terrebonne Parishes.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         City of Houma,"33,263","2,316",,435,"1,881",-,15,60,360,322,"1,413",146,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Total area actually reporting,98.6%,"9,106",,"1,047","8,059",3,60,138,846,"1,742","5,881",436,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Estimated total,100.0%,"9,260",,"1,066","8,194",3,61,141,861,"1,767","5,982",445,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"         Rate per 100,000 inhabitants",,"4,655.5", ,535.9,"4,119.5",1.5,30.7,70.9,432.9,888.4,"3,007.5",223.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Houston, TX M.S.A.","4,172,584",,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,
"    (Includes Chambers, Fort Bend, Harris, Liberty, Montgomery, and Waller Counties.)",,,,, , , , , , , , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        City of:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
            Houston,"1,920,350","131,711",,"21,491","110,220",230,813,"8,256","12,192","23,254","67,102","19,864",,,,,,,,,,,,,,,,,,,,,,,,,,,,
            Baytown,"72,392","3,255",,239,"3,016",3,30,75,131,578,"2,229",209,,,,,,,,,,,,,,,,,,,,,,,,,,,,
            Conroe,"40,069","2,586",,307,"2,279",1,21,74,211,392,"1,712",175,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Total area actually reporting,99.8%,"210,279",,"29,909","180,370",321,"1,443","10,097","18,048","39,989","113,474","26,907",,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Estimated total,100.0%,"210,561",,"29,930","180,631",321,"1,445","10,102","18,062","40,037","113,667","26,927",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"         Rate per 100,000 inhabitants",,"5,046.3",,717.3,"4,329.0",7.7,34.6,242.1,432.9,959.5,"2,724.1",645.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Huntsville, AL M.S.A.","348,233",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    (Includes Limestone and Madison Counties.),,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,
         City of Huntsville,"181,037","12,239",,"1,244","10,995",8,62,299,875,"1,882","8,330",783,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Total area actually reporting,99.5%,"16,045",,"1,620","14,425",9,83,369,"1,159","2,730","10,715",980,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Estimated total,100.0%,"16,133",,"1,628","14,505",9,83,371,"1,165","2,746","10,774",985,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"         Rate per 100,000 inhabitants",,"4,632.8",,467.5,"4,165.3",2.6,23.8,106.5,334.5,788.6,"3,093.9",282.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Iowa City, IA M.S.A.","105,872",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    (Includes Johnson County.),,,, , , , , , , , , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         City of Iowa City,"62,514","2,038",,321,"1,717",1,25,30,265,320,"1,225",172,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Total area actually reporting,100.0%,"3,445",,441,"3,004",1,34,40,366,532,"2,241",231, ,,,,,,,,,,,,,,,,,,,,,,,,,,,
"         Rate per 100,000 inhabitants",,"3,253.9",,416.5,"2,837.4",0.9,32.1,37.8,345.7,502.5,"2,116.7",218.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Jackson, MI M.S.A.","158,462",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    (Includes Jackson County.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         City of Jackson,"36,498","3,167",,364,"2,803",3,36,77,248,420,"2,202",181,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Total area actually reporting,95.5%,"6,431",,708,"5,723",3,93,106,506,"1,153","4,151",419,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Estimated total,100.0%,"6,696",,732,"5,964",3,95,111,523,"1,191","4,323",450, ,,,,,,,,,,,,,,,,,,,,,,,,,,,
"         Rate per 100,000 inhabitants",,"4,225.6",,461.9,"3,763.7",1.9,60.0,70.0,330.0,751.6,"2,728.1",284.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Jackson, TN M.S.A.4","105,401",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    (Includes Chester and Madison Counties.),,,,, , , , , , , , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         City of Jackson4,"56,063","4,697",,863,"3,834",6,36,163,658,924,"2,472",438,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Total area actually reporting,100.0%,"6,028",,"1,112","4,916",6,50,185,871,"1,271","3,110",535,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"         Rate per 100,000 inhabitants",,"5,719.1",,"1,055.0","4,664.1",5.7,47.4,175.5,826.4,"1,205.9","2,950.6",507.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Jacksonville, FL  M.S.A.","1,117,228",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"    (Includes Clay, Duval, Nassau, and St. Johns Counties.)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         City of Jacksonville,"735,992","51,072",,"8,206","42,866",79,443,"2,022","5,662","9,955","28,378","4,533",,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Total area actually reporting,98.3%,"65,257",,"10,329","54,928",98,534,"2,276","7,421","12,126","37,552","5,250",,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Estimated total,100.0%,"66,390",,"10,459","55,931",99,540,"2,311","7,509","12,329","38,242","5,360",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"         Rate per 100,000 inhabitants",,"5,942.4",,936.2,"5,006.2",8.9,48.3,206.9,672.1,"1,103.5","3,422.9",479.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Jacksonville, NC M.S.A.","149,902",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    (Includes Onslow County.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         City of Jacksonville,"72,125","3,006",,255,"2,751",2,20,70,163,557,"2,084",110,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Total area actually reporting,100.0%,"6,123",,466,"5,657",5,67,114,280,"1,446","3,866",345,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"         Rate per 100,000 inhabitants",,"4,084.7", ,310.9,"3,773.8",3.3,44.7,76.0,186.8,964.6,"2,579.0",230.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Jamestown, NY M.S.A.","143,321",,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,
    (Includes Chautauqua County.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         City of Jamestown,"33,610 ","1,296",,125,"1,171",-,19,17,89,324,782,65,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Total area actually reporting,100.0%,"3,814",,288,"3,526",3,37,37,211,758,"2,651",117,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"         Rate per 100,000 inhabitants",,"2,661.2", ,200.9,"2,460.2",2.1,25.8,25.8,147.2,528.9,"1,849.7",81.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Janesville-Beloit, WI M.S.A.","154,380",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    (Includes Rock County.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        City of:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
            Janesville,"61,554 ","3,185",,165,"3,020",-,19,29,117,425,"2,487",108,,,,,,,,,,,,,,,,,,,,,,,,,,,,
            Beloit,"36,498 ","1,644",,108,"1,536",2,13,54,39,219,"1,231",86,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Total area actually reporting,100.0%,"5,818",,361,"5,457",4,47,87,223,878,"4,346",233,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"         Rate per 100,000 inhabitants",,"3,768.6", ,233.8,"3,534.8",2.6,30.4,56.4,144.4,568.7,"2,815.1",150.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Jersey City, NJ M.S.A.","571,212",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    (Includes Hudson County.),,,,, , , , , , , , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        City of:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
            Jersey City,"238,125 ","12,437",,"2,856","9,581",17,74,"1,237","1,528","2,465","4,682","2,434",,,,,,,,,,,,,,,,,,,,,,,,,,,,
            Bayonne,"62,192 ","1,356",,171,"1,185",1,2,67,101,199,771,215,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Total area actually reporting,100.0%,"23,990",,"3,981","20,009",26,102,"1,728","2,125","4,393","10,957","4,659",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"         Rate per 100,000 inhabitants",,"4,199.8",,696.9,"3,502.9",4.6,17.9,302.5,372.0,769.1,"1,918.2",815.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Johnstown, PA M.S.A.","239,389",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    (Includes Cambria and Somerset Counties.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         City of Johnstown,"30,500 ","1,114",,149,965,1,2,32,114,251,639,75,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Total area actually reporting,91.8%,"3,604",,432,"3,172",3,30,45,354,851,"2,093",228,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Estimated total,100.0%,"4,072",,476,"3,596",3,33,55,385,907,"2,428",261,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"         Rate per 100,000 inhabitants",,"1,701.0",,198.8,"1,502.2",1.3,13.8,23.0,160.8,378.9,"1,014.2",109.0, ,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Jonesboro, AR M.S.A.","81,383", ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    (Includes Craighead County.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         City of Jonesboro,"55,072","3,122",,192,"2,930",1,27,70,94,558,"2,194",178,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Total area actually reporting,100.0%,"3,646",,244,"3,402",2,30,74,138,668,"2,502",232,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"         Rate per 100,000 inhabitants",,"4,480.1",,299.8,"4,180.2",2.5,36.9,90.9,169.6,820.8,"3,074.4",285.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Joplin, MO M.S.A.4","153,460",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    (Includes Jasper and Newton Counties.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         City of Joplin4,"46,060 ","4,243",,205,"4,038",2,24,46,133,721,"3,045",272,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Total area actually reporting,75.8%,"6,748",,311,"6,437",3,39,59,210,"1,225","4,834",378,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Estimated total,100.0%,"7,588",,383,"7,205",4,44,70,265,"1,376","5,390",439,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"         Rate per 100,000 inhabitants",,"4,944.6",,249.6,"4,695.0",2.6,28.7,45.6,172.7,896.7,"3,512.3",286.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Kalamazoo-Battle Creek, MI M.S.A.","450,549",,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,
"    (Includes Calhoun, Kalamazoo, and Van Buren Counties.)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        City of:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
            Kalamazoo,"76,233 ","5,982",,813,"5,169",9,94,189,521,"1,195","3,489",485,,,,,,,,,,,,,,,,,,,,,,,,,,,,
            Battle Creek,"54,106 ","5,047",,853,"4,194",2,64,181,606,"1,031","2,845",318,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Total area actually reporting,98.9%,"23,058",,"2,797","20,261",24,333,500,"1,940","4,339","14,458","1,464",,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Estimated total,100.0%,"23,251",,"2,815","20,436",24,335,504,"1,952","4,367","14,583","1,486",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"         Rate per 100,000 inhabitants",,"5,160.6",,624.8,"4,535.8",5.3,74.4,111.9,433.2,969.3,"3,236.7",329.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Kenosha, WI M.S.A.","149,470",, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    (Includes Kenosha County.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         City of Kenosha,"91,376 ","3,152",,516,"2,636",-,26,78,412,470,"1,955",211,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Total area actually reporting,100.0%,"4,742",,621,"4,121",-,33,88,500,742,"3,090",289, ,,,,,,,,,,,,,,,,,,,,,,,,,,,
"         Rate per 100,000 inhabitants",,"3,172.5",,415.5,"2,757.1",-,22.1,58.9,334.5,496.4,"2,067.3",193.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Killeen-Temple, TX M.S.A.","308,256", ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    (Includes Bell and Coryell Counties.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        City of:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
            Killeen,"84,685","5,203", ,575,"4,628",9,51,156,359,"1,037","3,379",212,,,,,,,,,,,,,,,,,,,,,,,,,,,,
            Temple,"54,256","2,735",,177,"2,558",1,12,37,127,581,"1,825",152,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Total area actually reporting,99.6%,"11,917",,"1,155","10,762",16,98,228,813,"2,489","7,733",540,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Estimated total,100.0%,"11,974",,"1,159","10,815",16,98,229,816,"2,499","7,772",544,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"         Rate per 100,000 inhabitants",,"3,884.4", ,376.0,"3,508.4",5.2,31.8,74.3,264.7,810.7,"2,521.3",176.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Knoxville, TN M.S.A.4","673,354",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"    (Includes Anderson, Blount, Knox, Loudon, Sevier, and Union Counties.)",,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,
        City of:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
            Knoxville4,"181,421","10,736", ,"1,849","8,887",23,79,577,"1,170","1,571","5,919","1,397",,,,,,,,,,,,,,,,,,,,,,,,,,,,
            Oak Ridge4,"27,793","1,585",,116,"1,469",1,8,31,76,205,"1,200",64,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Total area actually reporting,99.3%,"26,807",,"3,533","23,274",38,219,745,"2,531","4,796","15,764","2,714",,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Estimated total,100.0%,"27,047",,"3,558","23,489",38,220,749,"2,551","4,832","15,927","2,730",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"         Rate per 100,000 inhabitants",,"4,016.8",,528.4,"3,488.4",5.6,32.7,111.2,378.8,717.6,"2,365.3",405.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Kokomo, IN M.S.A.","102,701",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    (Includes Howard and Tipton Counties.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         City of Kokomo,"46,265","2,736",,237,"2,499",5,15,46,171,346,"2,033",120,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Total area actually reporting,100.0%,"3,581",,306,"3,275",5,18,51,232,577,"2,533",165,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"         Rate per 100,000 inhabitants",,"3,486.8",,298.0,"3,188.9",4.9,17.5,49.7,225.9,561.8,"2,466.4",160.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"La Crosse, WI-MN M.S.A.7","124,724",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"    (Includes La Crosse County, WI and Houston County, MN.)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"         City of La Crosse, WI","50,475","2,068",,98,"1,970",-,17,23,58,160,"1,694",116,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Total area actually reporting,95.0%,"3,398",,142,"3,256",2,22,26,92,250,"2,850",156,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Estimated total,100.0%,"3,588",,150,"3,438",2,23,29,96,270,"3,004",164, ,,,,,,,,,,,,,,,,,,,,,,,,,,,
"         Rate per 100,000 inhabitants",,"2,876.8", ,120.3,"2,756.5",1.6,18.4,23.3,77.0,216.5,"2,408.5",131.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Lafayette, IN M.S.A.","179,500",,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,
    (Includes Clinton and Tippecanoe Counties.),,,,, , , , , , , , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         City of Lafayette,"50,241","2,961",,164,"2,797",-,31,48,85,454,"2,202",141,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Total area actually reporting,100.0%,"6,113",,305,"5,808",-,60,65,180,928,"4,634",246,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"         Rate per 100,000 inhabitants",,"3,405.6",,169.9,"3,235.7",-,33.4,36.2,100.3,517.0,"2,581.6",137.0, ,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Lafayette, LA M.S.A.","385,303",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"    (Includes Acadia, Lafayette, St. Landry, and St. Martin Parishes.)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         City of Lafayette,"119,396","8,259",,856,"7,403",3,82,182,589,"1,292","5,536",575,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Total area actually reporting,97.1%,"17,395",,"2,298","15,097",11,156,316,"1,815","3,445","10,696",956,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Estimated total,100.0%,"18,036",,"2,375","15,661",12,159,328,"1,876","3,550","11,116",995,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"         Rate per 100,000 inhabitants",,"4,681.0",,616.4,"4,064.6",3.1,41.3,85.1,486.9,921.4,"2,885.0",258.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Lake Charles, LA M.S.A.","184,612",,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,
    (Includes Calcasieu Parish.),,,,, , , , , , , , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         City of Lake Charles,"73,773","4,478",,629,"3,849",11,47,173,398,"1,443","2,158",248,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Total area actually reporting,97.7%,"10,451",,"1,169","9,282",15,107,282,765,"2,670","6,119",493,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Estimated total,100.0%,"10,691",,"1,198","9,493",15,108,287,788,"2,709","6,276",508,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"         Rate per 100,000 inhabitants",,"5,791.1",,648.9,"5,142.1",8.1,58.5,155.5,426.8,"1,467.4","3,399.6",275.2, ,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Lakeland-Winter Haven, FL M.S.A.","483,712",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    (Includes Polk County.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        City of:,,, , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
            Lakeland,"79,511","6,002",,447,"5,555",1,48,136,262,"1,246","3,983",326,,,,,,,,,,,,,,,,,,,,,,,,,,,,
            Winter Haven,"28,944","2,014",,200,"1,814",2,33,85,80,352,"1,181",281,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Total area actually reporting,99.4%,"28,140",,"2,916","25,224",25,291,637,"1,963","6,875","16,215","2,134",,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Estimated total,100.0%,"28,305",,"2,935","25,370",25,292,642,"1,976","6,905","16,315","2,150", ,,,,,,,,,,,,,,,,,,,,,,,,,,,
"         Rate per 100,000 inhabitants",,"5,851.6",,606.8,"5,244.9",5.2,60.4,132.7,408.5,"1,427.5","3,372.9",444.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Lancaster, PA M.S.A.","465,557",,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,
    (Includes Lancaster County.),,,,, , , , , , , , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         City of Lancaster,"53,973","3,841",,609,"3,232",8,45,334,222,540,"2,403",289,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Total area actually reporting,99.5%,"12,073",,"1,121","10,952",12,90,473,546,"1,759","8,427",766,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Estimated total,100.0%,"12,128",,"1,126","11,002",12,90,474,550,"1,766","8,466",770,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"         Rate per 100,000 inhabitants",,"2,605.1",,241.9,"2,363.2",2.6,19.3,101.8,118.1,379.3,"1,818.5",165.4, ,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Lansing-East Lansing, MI M.S.A.","454,201",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"    (Includes Clinton, Eaton, and Ingham Counties.)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        City of:,,, , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
            Lansing,"128,683","6,883",,"1,219","5,664",14,120,171,914,"1,110","4,133",421,,,,,,,,,,,,,,,,,,,,,,,,,,,,
            East Lansing,"46,917","1,658",,145,"1,513",1,16,14,114,274,"1,188",51,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Total area actually reporting,97.7%,"16,372",,"1,881","14,491",19,265,255,"1,342","2,581","11,012",898,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Estimated total,100.0%,"16,763",,"1,918","14,845",19,269,263,"1,367","2,637","11,265",943, ,,,,,,,,,,,,,,,,,,,,,,,,,,,
"         Rate per 100,000 inhabitants",,"3,690.7",,422.3,"3,268.4",4.2,59.2,57.9,301.0,580.6,"2,480.2",207.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Laredo, TX M.S.A.","200,964",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    (Includes Webb County.),,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         City of Laredo,"190,540","13,384",,972,"12,412",10,65,181,716,"1,749","9,875",788,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Total area actually reporting,100.0%,"13,669",,"1,014","12,655",10,66,183,755,"1,847","9,991",817,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"         Rate per 100,000 inhabitants",,"6,801.7", ,504.6,"6,297.1",5.0,32.8,91.1,375.7,919.1,"4,971.5",406.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Las Vegas, NV-AZ M.S.A.","1,521,236",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"    (Includes Clark and Nye Counties, NV and Mohave County, AZ.)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"         City of Las Vegas Metropolitan Police Department, NV","1,020,055","47,408",,"6,349","41,059",90,443,"3,366","2,450","9,535","22,094","9,430",,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Total area actually reporting,100.0%,"70,012",,"8,731","61,281",125,621,"4,046","3,939","14,661","34,457","12,163",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"         Rate per 100,000 inhabitants",,"4,602.3",,573.9,"4,028.4",8.2,40.8,266.0,258.9,963.8,"2,265.1",799.5, ,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Lawrence, MA-NH M.S.A.","353,987",,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,
"    (Includes part of Essex County, MA and Rockingham County, NH.)",,,,, , , , , , , , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"         City of Lawrence, MA","71,760","4,080",,649,"3,431",3,20,138,488,591,"1,047","1,793",,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Total area actually reporting,80.9%,"7,630",,893,"6,737",4,59,180,650,"1,193","3,312","2,232",,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Estimated total,100.0%,"8,861",,970,"7,891",4,84,191,691,"1,391","4,169","2,331",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"         Rate per 100,000 inhabitants",,"2,503.2",,274.0,"2,229.2",1.1,23.7,54.0,195.2,393.0,"1,177.7",658.5, ,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Lawton, OK M.S.A.","109,561",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
